species	Residues	Charge	Tiny	Small	Aliphatic	Aromatic	Non_polar	Polar	Charged	Basic	Acidic	group
Anas_platyrhynchos	50	5.5	14	24	9	7	19	31	14	10	4	Aves
Anolis_carolinensis	50	4.5	14	19	8	6	18	32	18	12	6	Reptiles
Aptenodytes_forsteri	50	5.0	16	24	10	5	19	31	13	9	4	Aves
Aquila_chrysaetos	50	7.0	15	21	11	3	17	33	15	11	4	Aves
Bos_indicus	49	3.5	17	25	11	9	24	25	13	9	4	Mammals
Calidris_pugnax	50	5.0	17	23	10	4	18	32	13	9	4	Aves
Canis_lupus	49	3.5	14	22	11	8	25	24	12	8	4	Mammals
Chelonia_mydas	50	6.0	14	23	10	4	21	29	14	10	4	Reptiles
Choloepus_didactylus	49	3.5	17	24	10	6	22	27	12	8	4	Mammals
Egretta_garzetta	50	6.0	16	23	10	4	18	32	14	10	4	Aves
Equus_caballus	48	4.5	16	23	9	7	22	26	11	8	3	Mammals
Erinaceus_europaeus	46	3.5	19	29	6	6	21	25	12	8	4	Mammals
Falco_peregrinus	50	6.0	17	24	9	5	18	32	14	10	4	Aves
Homo_sapiens	49	4.0	14	23	10	9	22	27	13	9	4	Mammals
Loxodonta_africana	49	3.5	15	23	11	7	23	26	12	8	4	Mammals
Mus_musculus	49	4.0	18	25	9	6	19	30	13	9	4	Mammals
Myotis_myotis	49	3.0	17	25	9	6	23	26	11	7	4	Mammals
Ornithorhynchus_anatinus	50	2.5	15	24	11	7	19	31	13	8	5	Mammals
Phascolarctos_cinereus	49	6.0	17	23	11	7	23	26	10	8	2	Mammals
Struthio_camelus	50	7.0	17	24	9	5	19	31	15	11	4	Aves
Xenopus_tropicalis	50	3.0	12	23	13	5	19	31	16	10	6	Amphibian
