Q_Gene_ID	GC_content	T_Gene_ID	Orthology	Per_identity	Orthology_confidence
ENSGALG00010000011	44.37	ENSCPBG00000000011	ortholog_one2one	62.7168	1
ENSGALG00010000017	47.20	ENSCPBG00000000017	ortholog_one2one	89.5146	1
ENSGALG00010000020	47.81	ENSCPBG00000000020	ortholog_one2one	72.3684	1
ENSGALG00010000022	41.21	ENSCPBG00000000022	ortholog_one2one	43.5484	1
ENSGALG00010000023	48.98	ENSCPBG00000000023	ortholog_one2one	71.8062	1
ENSGALG00010000024	49.36	ENSCPBG00000000024	ortholog_one2one	80.8429	1
ENSGALG00010000026	45.17	ENSCPBG00000000026	ortholog_one2one	69.8276	1
ENSGALG00010000029	46.23	ENSCPBG00000000029	ortholog_one2one	60.4348	1
ENSGALG00010000033	45.54	ENSCPBG00000000033	ortholog_one2one	54.9834	1
ENSGALG00010000034	48.38	ENSCPBG00000000036	ortholog_one2one	76.781	1
ENSGALG00010000037	47.89	ENSCPBG00000000034	ortholog_one2one	47.1264	1
ENSGALG00010000039	45.39	ENSCPBG00000024436	ortholog_one2one	75.7741	1
ENSGALG00010000039	45.39	ENSCPBG00000024436	ortholog_one2one	75.7741	1
ENSGALG00010000039	45.39	ENSCPBG00000024436	ortholog_one2one	75.7741	1
ENSGALG00010000040	77.37	ENSCPBG00000024441	ortholog_one2one	21.75	0
ENSGALG00010000042	63.57	ENSCPBG00000024424	ortholog_one2one	92.8058	1
ENSGALG00010000043	47.88	ENSCPBG00000024219	ortholog_one2one	82.5758	1
ENSGALG00010000043	47.88	ENSCPBG00000024219	ortholog_one2one	82.5758	1
ENSGALG00010000043	47.88	ENSCPBG00000024219	ortholog_one2one	82.5758	1
ENSGALG00010000043	47.88	ENSCPBG00000024219	ortholog_one2one	82.5758	1
ENSGALG00010000043	47.88	ENSCPBG00000024219	ortholog_one2one	82.5758	1
ENSGALG00010000043	47.88	ENSCPBG00000024219	ortholog_one2one	82.5758	1
ENSGALG00010000043	47.88	ENSCPBG00000024219	ortholog_one2one	82.5758	1
ENSGALG00010000043	47.88	ENSCPBG00000024219	ortholog_one2one	82.5758	1
