Q_Gene_ID	GC_content	T_Gene_ID	Orthology	Per_identity	Orthology_confidence
ENSGALG00010000039	45.39	ENSACCG00020003197	ortholog_one2one	88.4086	1
ENSGALG00010000039	45.39	ENSACCG00020003197	ortholog_one2one	88.4086	1
ENSGALG00010000039	45.39	ENSACCG00020003197	ortholog_one2one	88.4086	1
ENSGALG00010000040	77.37	ENSACCG00020003242	ortholog_one2one	29.8913	0
ENSGALG00010000042	63.57	ENSACCG00020003302	ortholog_one2one	98.0815	1
ENSGALG00010000043	47.88	ENSACCG00020003426	ortholog_one2one	93.7328	1
ENSGALG00010000043	47.88	ENSACCG00020003426	ortholog_one2one	93.7328	1
ENSGALG00010000043	47.88	ENSACCG00020003426	ortholog_one2one	93.7328	1
ENSGALG00010000043	47.88	ENSACCG00020003426	ortholog_one2one	93.7328	1
ENSGALG00010000043	47.88	ENSACCG00020003426	ortholog_one2one	93.7328	1
ENSGALG00010000043	47.88	ENSACCG00020003426	ortholog_one2one	93.7328	1
ENSGALG00010000043	47.88	ENSACCG00020003426	ortholog_one2one	93.7328	1
ENSGALG00010000043	47.88	ENSACCG00020003426	ortholog_one2one	93.7328	1
ENSGALG00010000044	46.93	ENSACCG00020003591	ortholog_one2one	54.5395	1
ENSGALG00010000044	46.93	ENSACCG00020003591	ortholog_one2one	54.5395	1
ENSGALG00010000044	46.93	ENSACCG00020003591	ortholog_one2one	54.5395	1
ENSGALG00010000044	46.93	ENSACCG00020003591	ortholog_one2one	54.5395	1
ENSGALG00010000044	46.93	ENSACCG00020003591	ortholog_one2one	54.5395	1
ENSGALG00010000044	46.93	ENSACCG00020003591	ortholog_one2one	54.5395	1
ENSGALG00010000045	42.95	ENSACCG00020003633	ortholog_one2one	72.4646	1
ENSGALG00010000046	41.31	ENSACCG00020003663	ortholog_one2one	95.4955	1
ENSGALG00010000046	41.31	ENSACCG00020003663	ortholog_one2one	95.4955	1
ENSGALG00010000046	41.31	ENSACCG00020003663	ortholog_one2one	95.4955	1
ENSGALG00010000046	41.31	ENSACCG00020003663	ortholog_one2one	95.4955	1
ENSGALG00010000047	41.26	ENSACCG00020003721	ortholog_one2one	95.6574	1
ENSGALG00010000047	41.26	ENSACCG00020003721	ortholog_one2one	95.6574	1
ENSGALG00010000047	41.26	ENSACCG00020003721	ortholog_one2one	95.6574	1
ENSGALG00010000047	41.26	ENSACCG00020003721	ortholog_one2one	95.6574	1
ENSGALG00010000048	66.37	ENSACCG00020002977	ortholog_one2one	87.1605	1
ENSGALG00010000048	66.37	ENSACCG00020002977	ortholog_one2one	87.1605	1
ENSGALG00010000048	66.37	ENSACCG00020002977	ortholog_one2one	87.1605	1
ENSGALG00010000048	66.37	ENSACCG00020002977	ortholog_one2one	87.1605	1
ENSGALG00010000049	65.22	ENSACCG00020003018	ortholog_one2one	87.2573	1
ENSGALG00010000050	63.66	ENSACCG00020002723	ortholog_one2one	86.0465	0
ENSGALG00010000050	63.66	ENSACCG00020002723	ortholog_one2one	86.0465	0
ENSGALG00010000050	63.66	ENSACCG00020002723	ortholog_one2one	86.0465	0
ENSGALG00010000051	74.15	ENSACCG00020002735	ortholog_one2one	63.2391	0
ENSGALG00010000052	52.23	ENSACCG00020002759	ortholog_one2one	57.6923	0
ENSGALG00010000053	75.97	ENSACCG00020002786	ortholog_one2one	51.2	1
ENSGALG00010000053	75.97	ENSACCG00020002786	ortholog_one2one	51.2	1
ENSGALG00010000054	60.25	ENSACCG00020002805	ortholog_one2one	91.7342	1
ENSGALG00010000054	60.25	ENSACCG00020002805	ortholog_one2one	91.7342	1
ENSGALG00010000054	60.25	ENSACCG00020002805	ortholog_one2one	91.7342	1
ENSGALG00010000054	60.25	ENSACCG00020002805	ortholog_one2one	91.7342	1
ENSGALG00010000054	60.25	ENSACCG00020002805	ortholog_one2one	91.7342	1
ENSGALG00010000054	60.25	ENSACCG00020002805	ortholog_one2one	91.7342	1
ENSGALG00010000055	58.95	ENSACCG00020002843	ortholog_one2one	79.3103	1
ENSGALG00010000055	58.95	ENSACCG00020002843	ortholog_one2one	79.3103	1
ENSGALG00010000055	58.95	ENSACCG00020002843	ortholog_one2one	79.3103	1
ENSGALG00010000056	63.45	ENSACCG00020002907	ortholog_one2one	84.7689	1
ENSGALG00010000056	63.45	ENSACCG00020002907	ortholog_one2one	84.7689	1
ENSGALG00010000056	63.45	ENSACCG00020002907	ortholog_one2one	84.7689	1
ENSGALG00010000058	65.31	ENSACCG00020003041	ortholog_one2one	95.564	1
ENSGALG00010000059	54.87	ENSACCG00020003062	ortholog_one2one	98.6333	1
ENSGALG00010000059	54.87	ENSACCG00020003062	ortholog_one2one	98.6333	1
ENSGALG00010000060	63.00	ENSACCG00020003072	ortholog_one2one	76.7442	1
ENSGALG00010000060	63.00	ENSACCG00020003072	ortholog_one2one	76.7442	1
ENSGALG00010000061	62.10	ENSACCG00020003125	ortholog_one2one	88.3576	1
ENSGALG00010000071	61.71	ENSACCG00020000014	ortholog_one2one	33.5907	0
ENSGALG00010000071	61.71	ENSACCG00020000014	ortholog_one2one	33.5907	0
ENSGALG00010000105	61.64	ENSACCG00020016732	ortholog_one2one	89.3443	1
ENSGALG00010000106	65.67	ENSACCG00020014777	ortholog_one2one	65.0602	1
ENSGALG00010000127	60.28	ENSACCG00020014717	ortholog_one2one	58.1169	0
ENSGALG00010000127	60.28	ENSACCG00020014717	ortholog_one2one	58.1169	0
ENSGALG00010000133	63.02	ENSACCG00020006319	ortholog_one2one	84.4595	1
ENSGALG00010000137	62.00	ENSACCG00020006302	ortholog_one2one	26.7157	0
ENSGALG00010000137	62.00	ENSACCG00020006302	ortholog_one2one	26.7157	0
ENSGALG00010000141	63.62	ENSACCG00020013917	ortholog_one2one	52.2283	1
ENSGALG00010000141	63.62	ENSACCG00020013917	ortholog_one2one	52.2283	1
ENSGALG00010000141	63.62	ENSACCG00020013917	ortholog_one2one	52.2283	1
ENSGALG00010000141	63.62	ENSACCG00020013917	ortholog_one2one	52.2283	1
ENSGALG00010000141	63.62	ENSACCG00020013917	ortholog_one2one	52.2283	1
ENSGALG00010000141	63.62	ENSACCG00020013917	ortholog_one2one	52.2283	1
ENSGALG00010000142	62.72	ENSACCG00020012269	ortholog_one2one	53.5322	0
ENSGALG00010000143	61.50	ENSACCG00020002816	ortholog_one2one	85.8783	1
ENSGALG00010000143	61.50	ENSACCG00020002816	ortholog_one2one	85.8783	1
ENSGALG00010000145	61.54	ENSACCG00020002771	ortholog_one2one	82.8526	1
ENSGALG00010000146	58.17	ENSACCG00020012866	ortholog_one2one	69.2671	1
ENSGALG00010000149	69.37	ENSACCG00020016943	ortholog_one2one	15.186	0
ENSGALG00010000149	69.37	ENSACCG00020016943	ortholog_one2one	15.186	0
ENSGALG00010000150	65.61	ENSACCG00020016942	ortholog_one2one	66.8731	1
ENSGALG00010000151	49.44	ENSACCG00020000621	ortholog_one2one	98.4645	1
ENSGALG00010000151	49.44	ENSACCG00020000621	ortholog_one2one	98.4645	1
