Q_Gene_ID	GC_content	T_Gene_ID	Orthology	Per_identity	Orthology_confidence
ENSGALG00010000007	47.49	ENSG00000198888	ortholog_one2one	69.1824	1
ENSGALG00010000011	44.37	ENSG00000198763	ortholog_one2one	47.2622	1
ENSGALG00010000017	47.20	ENSG00000198804	ortholog_one2one	85.1852	1
ENSGALG00010000020	47.81	ENSG00000198712	ortholog_one2one	66.0793	1
ENSGALG00010000023	48.98	ENSG00000198899	ortholog_one2one	54.4248	1
ENSGALG00010000024	49.36	ENSG00000198938	ortholog_one2one	75.0958	1
ENSGALG00010000026	45.17	ENSG00000198840	ortholog_one2one	51.3043	1
ENSGALG00010000029	46.23	ENSG00000198886	ortholog_one2one	59.4771	1
ENSGALG00010000033	45.54	ENSG00000198786	ortholog_one2one	55.2239	1
ENSGALG00010000034	48.38	ENSG00000198727	ortholog_one2one	72.6316	1
ENSGALG00010000037	47.89	ENSG00000198695	ortholog_one2one	32.7586	1
ENSGALG00010000039	45.39	ENSG00000167004	ortholog_one2one	79.604	1
ENSGALG00010000039	45.39	ENSG00000167004	ortholog_one2one	79.604	1
ENSGALG00010000039	45.39	ENSG00000167004	ortholog_one2one	79.604	1
ENSGALG00010000043	47.88	ENSG00000168781	ortholog_one2one	69.7315	1
ENSGALG00010000043	47.88	ENSG00000168781	ortholog_one2one	69.7315	1
ENSGALG00010000043	47.88	ENSG00000168781	ortholog_one2one	69.7315	1
ENSGALG00010000043	47.88	ENSG00000168781	ortholog_one2one	69.7315	1
ENSGALG00010000043	47.88	ENSG00000168781	ortholog_one2one	69.7315	1
ENSGALG00010000043	47.88	ENSG00000168781	ortholog_one2one	69.7315	1
ENSGALG00010000043	47.88	ENSG00000168781	ortholog_one2one	69.7315	1
ENSGALG00010000043	47.88	ENSG00000168781	ortholog_one2one	69.7315	1
ENSGALG00010000044	46.93	ENSG00000166963	ortholog_one2one	40.7064	1
ENSGALG00010000044	46.93	ENSG00000166963	ortholog_one2one	40.7064	1
ENSGALG00010000044	46.93	ENSG00000166963	ortholog_one2one	40.7064	1
ENSGALG00010000044	46.93	ENSG00000166963	ortholog_one2one	40.7064	1
ENSGALG00010000044	46.93	ENSG00000166963	ortholog_one2one	40.7064	1
ENSGALG00010000044	46.93	ENSG00000166963	ortholog_one2one	40.7064	1
ENSGALG00010000045	42.95	ENSG00000067369	ortholog_one2one	48.1538	1
ENSGALG00010000046	41.31	ENSG00000137822	ortholog_one2one	92.1922	1
ENSGALG00010000046	41.31	ENSG00000137822	ortholog_one2one	92.1922	1
ENSGALG00010000046	41.31	ENSG00000137822	ortholog_one2one	92.1922	1
ENSGALG00010000046	41.31	ENSG00000137822	ortholog_one2one	92.1922	1
ENSGALG00010000047	41.26	ENSG00000140575	ortholog_one2one	88.2317	1
ENSGALG00010000047	41.26	ENSG00000140575	ortholog_one2one	88.2317	1
ENSGALG00010000047	41.26	ENSG00000140575	ortholog_one2one	88.2317	1
ENSGALG00010000047	41.26	ENSG00000140575	ortholog_one2one	88.2317	1
ENSGALG00010000048	66.37	ENSG00000196547	ortholog_one2one	78.5217	1
ENSGALG00010000048	66.37	ENSG00000196547	ortholog_one2one	78.5217	1
ENSGALG00010000048	66.37	ENSG00000196547	ortholog_one2one	78.5217	1
ENSGALG00010000048	66.37	ENSG00000196547	ortholog_one2one	78.5217	1
ENSGALG00010000049	65.22	ENSG00000182511	ortholog_one2one	69.708	1
ENSGALG00010000050	63.66	ENSG00000185043	ortholog_one2one	67.5393	1
ENSGALG00010000050	63.66	ENSG00000185043	ortholog_one2one	67.5393	1
ENSGALG00010000050	63.66	ENSG00000185043	ortholog_one2one	67.5393	1
ENSGALG00010000051	74.15	ENSG00000183208	ortholog_one2one	50.1299	1
ENSGALG00010000052	52.23	ENSG00000213471	ortholog_one2one	50.7324	1
ENSGALG00010000053	75.97	ENSG00000184508	ortholog_one2one	61.4525	1
ENSGALG00010000053	75.97	ENSG00000184508	ortholog_one2one	61.4525	1
ENSGALG00010000054	60.25	ENSG00000184056	ortholog_one2one	80.0648	1
ENSGALG00010000054	60.25	ENSG00000184056	ortholog_one2one	80.0648	1
ENSGALG00010000054	60.25	ENSG00000184056	ortholog_one2one	80.0648	1
