Q_Gene_ID	GC_content	T_Gene_ID	Orthology	Per_identity	Orthology_confidence
ENSGALG00010000007	47.49	ENSTGUG00000019084	ortholog_one2one	74.7475	0
ENSGALG00010000037	47.89	ENSTGUG00000010115	ortholog_one2one	64.6465	0
ENSGALG00010000039	45.39	ENSTGUG00000010220	ortholog_one2one	86.2963	1
ENSGALG00010000039	45.39	ENSTGUG00000010220	ortholog_one2one	86.2963	1
ENSGALG00010000039	45.39	ENSTGUG00000010220	ortholog_one2one	86.2963	1
ENSGALG00010000040	77.37	ENSTGUG00000010206	ortholog_one2one	21.0345	0
ENSGALG00010000042	63.57	ENSTGUG00000010247	ortholog_one2one	95.2038	1
ENSGALG00010000043	47.88	ENSTGUG00000010276	ortholog_one2one	91.9421	1
ENSGALG00010000043	47.88	ENSTGUG00000010276	ortholog_one2one	91.9421	1
ENSGALG00010000043	47.88	ENSTGUG00000010276	ortholog_one2one	91.9421	1
ENSGALG00010000043	47.88	ENSTGUG00000010276	ortholog_one2one	91.9421	1
ENSGALG00010000043	47.88	ENSTGUG00000010276	ortholog_one2one	91.9421	1
ENSGALG00010000043	47.88	ENSTGUG00000010276	ortholog_one2one	91.9421	1
ENSGALG00010000043	47.88	ENSTGUG00000010276	ortholog_one2one	91.9421	1
ENSGALG00010000043	47.88	ENSTGUG00000010276	ortholog_one2one	91.9421	1
ENSGALG00010000044	46.93	ENSTGUG00000019635	ortholog_one2one	52.1348	0
ENSGALG00010000044	46.93	ENSTGUG00000019635	ortholog_one2one	52.1348	0
ENSGALG00010000044	46.93	ENSTGUG00000019635	ortholog_one2one	52.1348	0
ENSGALG00010000044	46.93	ENSTGUG00000019635	ortholog_one2one	52.1348	0
ENSGALG00010000044	46.93	ENSTGUG00000019635	ortholog_one2one	52.1348	0
ENSGALG00010000044	46.93	ENSTGUG00000019635	ortholog_one2one	52.1348	0
ENSGALG00010000045	42.95	ENSTGUG00000010331	ortholog_one2one	62.7145	1
ENSGALG00010000046	41.31	ENSTGUG00000010347	ortholog_one2one	92.1753	1
ENSGALG00010000046	41.31	ENSTGUG00000010347	ortholog_one2one	92.1753	1
ENSGALG00010000046	41.31	ENSTGUG00000010347	ortholog_one2one	92.1753	1
ENSGALG00010000046	41.31	ENSTGUG00000010347	ortholog_one2one	92.1753	1
ENSGALG00010000047	41.26	ENSTGUG00000010390	ortholog_one2one	94.2598	1
ENSGALG00010000047	41.26	ENSTGUG00000010390	ortholog_one2one	94.2598	1
ENSGALG00010000047	41.26	ENSTGUG00000010390	ortholog_one2one	94.2598	1
ENSGALG00010000047	41.26	ENSTGUG00000010390	ortholog_one2one	94.2598	1
ENSGALG00010000048	66.37	ENSTGUG00000010087	ortholog_one2one	90.0783	1
ENSGALG00010000048	66.37	ENSTGUG00000010087	ortholog_one2one	90.0783	1
ENSGALG00010000048	66.37	ENSTGUG00000010087	ortholog_one2one	90.0783	1
ENSGALG00010000048	66.37	ENSTGUG00000010087	ortholog_one2one	90.0783	1
ENSGALG00010000049	65.22	ENSTGUG00000010113	ortholog_one2one	75.5716	1
ENSGALG00010000050	63.66	ENSTGUG00000010028	ortholog_one2one	75.1174	1
ENSGALG00010000050	63.66	ENSTGUG00000010028	ortholog_one2one	75.1174	1
ENSGALG00010000050	63.66	ENSTGUG00000010028	ortholog_one2one	75.1174	1
ENSGALG00010000051	74.15	ENSTGUG00000023394	ortholog_one2one	48.7472	0
ENSGALG00010000052	52.23	ENSTGUG00000010033	ortholog_one2one	46.1707	0
ENSGALG00010000054	60.25	ENSTGUG00000025670	ortholog_one2one	75.7576	1
ENSGALG00010000054	60.25	ENSTGUG00000025670	ortholog_one2one	75.7576	1
ENSGALG00010000054	60.25	ENSTGUG00000025670	ortholog_one2one	75.7576	1
ENSGALG00010000054	60.25	ENSTGUG00000025670	ortholog_one2one	75.7576	1
ENSGALG00010000054	60.25	ENSTGUG00000025670	ortholog_one2one	75.7576	1
ENSGALG00010000054	60.25	ENSTGUG00000025670	ortholog_one2one	75.7576	1
ENSGALG00010000055	58.95	ENSTGUG00000021109	ortholog_one2one	72.4026	1
ENSGALG00010000055	58.95	ENSTGUG00000021109	ortholog_one2one	72.4026	1
ENSGALG00010000055	58.95	ENSTGUG00000021109	ortholog_one2one	72.4026	1
ENSGALG00010000056	63.45	ENSTGUG00000010052	ortholog_one2one	93.188	1
ENSGALG00010000056	63.45	ENSTGUG00000010052	ortholog_one2one	93.188	1
ENSGALG00010000056	63.45	ENSTGUG00000010052	ortholog_one2one	93.188	1
ENSGALG00010000058	65.31	ENSTGUG00000010132	ortholog_one2one	94.6768	1
ENSGALG00010000059	54.87	ENSTGUG00000010162	ortholog_one2one	98.1818	1
ENSGALG00010000059	54.87	ENSTGUG00000010162	ortholog_one2one	98.1818	1
ENSGALG00010000060	63.00	ENSTGUG00000010184	ortholog_one2one	76.7442	1
ENSGALG00010000060	63.00	ENSTGUG00000010184	ortholog_one2one	76.7442	1
ENSGALG00010000061	62.10	ENSTGUG00000010186	ortholog_one2one	37.3626	0
ENSGALG00010000063	75.04	ENSTGUG00000029530	ortholog_one2one	98.3051	1
ENSGALG00010000069	58.76	ENSTGUG00000016061	ortholog_one2one	4.04858	0
ENSGALG00010000071	61.71	ENSTGUG00000014757	ortholog_one2one	30.7958	0
ENSGALG00010000071	61.71	ENSTGUG00000014757	ortholog_one2one	30.7958	0
ENSGALG00010000085	57.96	ENSTGUG00000020311	ortholog_one2one	47.5504	0
ENSGALG00010000085	57.96	ENSTGUG00000020311	ortholog_one2one	47.5504	0
ENSGALG00010000085	57.96	ENSTGUG00000020311	ortholog_one2one	47.5504	0
ENSGALG00010000092	62.05	ENSTGUG00000021546	ortholog_one2one	44.898	0
ENSGALG00010000092	62.05	ENSTGUG00000021546	ortholog_one2one	44.898	0
ENSGALG00010000092	62.05	ENSTGUG00000021546	ortholog_one2one	44.898	0
ENSGALG00010000105	61.64	ENSTGUG00000029419	ortholog_one2one	83.5249	0
ENSGALG00010000123	55.61	ENSTGUG00000020579	ortholog_one2one	25.4072	0
ENSGALG00010000126	68.03	ENSTGUG00000014301	ortholog_one2one	20	0
ENSGALG00010000133	63.02	ENSTGUG00000027559	ortholog_one2one	72.8111	1
ENSGALG00010000142	62.72	ENSTGUG00000026404	ortholog_one2one	35.7294	0
ENSGALG00010000143	61.50	ENSTGUG00000010584	ortholog_one2one	81.6946	1
ENSGALG00010000143	61.50	ENSTGUG00000010584	ortholog_one2one	81.6946	1
ENSGALG00010000145	61.54	ENSTGUG00000010576	ortholog_one2one	78.5358	1
ENSGALG00010000148	67.86	ENSTGUG00000029422	ortholog_one2one	29.8182	0
ENSGALG00010000151	49.44	ENSTGUG00000009001	ortholog_one2one	95.3875	1
ENSGALG00010000151	49.44	ENSTGUG00000009001	ortholog_one2one	95.3875	1
ENSGALG00010000152	61.69	ENSTGUG00000026514	ortholog_one2one	14.9758	0
ENSGALG00010000153	49.30	ENSTGUG00000010467	ortholog_one2one	98.6555	1
ENSGALG00010000166	61.90	ENSTGUG00000026647	ortholog_one2one	72.2689	0
ENSGALG00010000166	61.90	ENSTGUG00000026647	ortholog_one2one	72.2689	0
ENSGALG00010000173	63.19	ENSTGUG00000010464	ortholog_one2one	66.436	0
ENSGALG00010000173	63.19	ENSTGUG00000010464	ortholog_one2one	66.436	0
ENSGALG00010000173	63.19	ENSTGUG00000010464	ortholog_one2one	66.436	0
ENSGALG00010000173	63.19	ENSTGUG00000010464	ortholog_one2one	66.436	0
ENSGALG00010000173	63.19	ENSTGUG00000010464	ortholog_one2one	66.436	0
ENSGALG00010000175	63.25	ENSTGUG00000022802	ortholog_one2one	58.5294	1
ENSGALG00010000186	54.54	ENSTGUG00000010446	ortholog_one2one	90	1
ENSGALG00010000186	54.54	ENSTGUG00000010446	ortholog_one2one	90	1
ENSGALG00010000186	54.54	ENSTGUG00000010446	ortholog_one2one	90	1
ENSGALG00010000191	61.29	ENSTGUG00000021730	ortholog_one2one	48.64	0
ENSGALG00010000196	54.46	ENSTGUG00000010410	ortholog_one2one	96.5021	1
ENSGALG00010000196	54.46	ENSTGUG00000010410	ortholog_one2one	96.5021	1
ENSGALG00010000200	62.06	ENSTGUG00000021634	ortholog_one2one	72.7099	1
ENSGALG00010000200	62.06	ENSTGUG00000021634	ortholog_one2one	72.7099	1
ENSGALG00010000205	62.95	ENSTGUG00000021023	ortholog_one2one	86.413	1
ENSGALG00010000205	62.95	ENSTGUG00000021023	ortholog_one2one	86.413	1
ENSGALG00010000210	56.42	ENSTGUG00000010559	ortholog_one2one	62.6277	1
ENSGALG00010000210	56.42	ENSTGUG00000010559	ortholog_one2one	62.6277	1
ENSGALG00010000213	59.96	ENSTGUG00000026049	ortholog_one2one	43.5484	0
ENSGALG00010000215	45.30	ENSTGUG00000010547	ortholog_one2one	98.9873	1
ENSGALG00010000215	45.30	ENSTGUG00000010547	ortholog_one2one	98.9873	1
ENSGALG00010000215	45.30	ENSTGUG00000010547	ortholog_one2one	98.9873	1
