Group	Species_name	GC_content	GC_Stretch
Afrotheria	Heterohyrax_brucei	51.26	3.54
Afrotheria	Orycteropus_afer	49.42	3.6
Afrotheria	Echinops_telfairi	57.45	3.73611111111111
Afrotheria	Chrysochloris_asiatica	50.69	3.62264150943396
Afrotheria	Loxodonta_africana	50.68	3.625
Afrotheria	Elephantulus_edwardii	54.88	3.73913043478261
Afrotheria	Elephas_maximus	50.49	3.5625
Afrotheria	Trichechus_manatus	49.51	3.63636363636364
Afrotheria	Dugong_dugon	49.81	3.59574468085106
Afrotheria	Procavia_capensis	50.83	3.57446808510638
Amphibia	Bufo_gargarizans	42.69	3.38888888888889
Amphibia	Bombina_bombina	34.55	3.70833333333333
Amphibia	Spea_bombifrons	35.64	3.42857142857143
Amphibia	Geotrypetes_seraphini	42.20	3.48571428571429
Amphibia	Rhinatrema_bivittatum	42.36	3.46341463414634
Amphibia	Xenopus_tropicalis	35.73	3.56666666666667
Amphibia	Hyla_sarda	41.96	3.53333333333333
Amphibia	Xenopus_laevis	37.38	3.48148148148148
Artiodactyla	Catagonus_wagneri	52.61	3.6551724137931
Artiodactyla	Delphinapterus_leucas	54.68	3.62857142857143
Artiodactyla	Camelus_bactrianus	53.37	3.53333333333333
Artiodactyla	Cervus_elaphus	55.53	3.66216216216216
Artiodactyla	Ovis_aries	57.18	3.7
Artiodactyla	Bos_mutus	56.89	3.63380281690141
Artiodactyla	Lipotes_vexillifer	55.17	3.68571428571429
Artiodactyla	Capra_hircus	57.18	3.70833333333333
Artiodactyla	Globicephala_melas	54.78	3.66176470588235
Artiodactyla	Moschus_berezovskii	57.48	3.64
Artiodactyla	Monodon_monoceros	54.78	3.68115942028985
Artiodactyla	Neophocaena_asiaeorientalis	54.97	3.64285714285714
Artiodactyla	Camelus_ferus	53.51	3.55737704918033
Artiodactyla	Hippopotamus_amphibius	54.17	3.77777777777778
Artiodactyla	Bos_taurus	56.89	3.63888888888889
Artiodactyla	Balaenoptera_acutorostrata	54.09	3.58461538461538
Artiodactyla	Camelus_dromedarius	53.41	3.55737704918033
Artiodactyla	Lagenorhynchus_obliquidens	54.29	3.62121212121212
Artiodactyla	Orcinus_orca	54.09	3.66666666666667
Artiodactyla	Tursiops_truncatus	54.29	3.63636363636364
Artiodactyla	Vicugna_pacos	53.51	3.63333333333333
Artiodactyla	Bison_bison	57.18	3.65277777777778
Artiodactyla	Rangifer_tarandus	55.23	3.61428571428571
Artiodactyla	Sus_scrofa	53.90	3.578125
Artiodactyla	Budorcas_taxicolor	57.28	3.69444444444444
Artiodactyla	Cervus_canadensis	55.53	3.68918918918919
Artiodactyla	Odocoileus_virginianus	55.62	3.67605633802817
Artiodactyla	Bos_indicus	57.09	3.68055555555556
Artiodactyla	Phocoena_sinus	54.97	3.64285714285714
Artiodactyla	Phacochoerus_africanus	53.61	3.59016393442623
Artiodactyla	Bubalus_carabanensis	56.50	3.70588235294118
Artiodactyla	Axis_porcinus	55.23	3.6
Artiodactyla	Bubalus_bubalis	56.40	3.67647058823529
Artiodactyla	Physeter_catodon	54.29	3.63636363636364
Artiodactyla	Giraffa_camelopardalis	55.43	3.54929577464789
Artiodactyla	Balaenoptera_musculus	53.90	3.546875
Artiodactyla	Oryx_dammah	57.09	3.69565217391304
Aves	Buteo_japonicus	39.50	3.36111111111111
Aves	Calidris_pugnax	40.17	3.39473684210526
Aves	Tinamus_guttatus	40.58	3.5
Aves	Haliaeetus_albicilla	39.50	3.38235294117647
Aves	Cariama_cristata	39.34	3.44736842105263
Aves	Struthio_camelus	39.52	3.4
Aves	Gymnogyps_californianus	40.37	3.55263157894737
Aves	Pelecanus_crispus	39.69	3.44736842105263
Aves	Anseranas_semipalmata	37.86	3.55172413793103
Aves	Branta_canadensis	38.34	3.36363636363636
Aves	Phaethon_lepturus	39.31	3.45454545454545
Aves	Chauna_torquata	36.77	3.51612903225806
Aves	Spheniscus_demersus	39.61	3.36842105263158
Aves	Rhynochetos_jubatus	40.31	3.55882352941176
Aves	Anser_indicus	38.25	3.42424242424242
Aves	Tauraco_erythrolophus	40.27	3.46341463414634
Aves	Stictonetta_naevosa	38.34	3.3030303030303
Aves	Falco_biarmicus	39.60	3.45714285714286
Aves	Falco_cherrug	39.69	3.44444444444444
Aves	Rissa_tridactyla	39.31	3.52631578947368
Aves	Cygnus_olor	38.15	3.41176470588235
Aves	Tyto_alba	39.31	3.425
Aves	Dromaius_novaehollandiae	39.71	3.47368421052632
Aves	Falco_tinnunculus	39.60	3.4
Aves	Aquila_chrysaetos	39.11	3.42424242424242
Aves	Fulmarus_glacialis	40.52	3.58974358974359
Aves	Opisthocomus_hoazin	40.08	3.51351351351351
Aves	Harpia_harpyja	39.50	3.27777777777778
Aves	Cairina_moschata	39.88	3.5
Aves	Oxyura_jamaicensis	38.44	3.375
Aves	Rhea_americana	38.10	3.38461538461538
Aves	Falco_peregrinus	39.79	3.44444444444444
Aves	Asarcornis_scutulata	39.40	3.47222222222222
Aves	Corythaeola_cristata	40.97	3.53488372093023
Aves	Aptenodytes_forsteri	39.81	3.45945945945946
Aves	Casuarius_casuarius	39.53	3.475
Aves	Apteryx_mantelli	39.90	3.475
Aves	Charadrius_vociferus	39.50	3.52777777777778
Aves	Accipiter_gentilis	39.02	3.3125
Aves	Haliaeetus_leucocephalus	39.50	3.38235294117647
Aves	Egretta_garzetta	39.98	3.525
Aves	Gavia_stellata	39.31	3.48648648648649
Aves	Grus_americana	40.00	3.47222222222222
Aves	Mesitornis_unicolor	40.50	3.48571428571429
Aves	Nothoprocta_perdicaria	40.82	3.45238095238095
Aves	Balearica_regulorum	39.90	3.44186046511628
Aves	Nettapus_auritus	39.21	3.4375
Aves	Heteronetta_atricapilla	38.82	3.41176470588235
Aves	Eurypyga_helias	41.23	3.48780487804878
Aves	Anser_brachyrhynchus	38.15	3.36363636363636
Aves	Anas_platyrhynchos	39.50	3.52941176470588
Aves	Falco_rusticolus	39.69	3.44444444444444
Aves	Pygoscelis_adeliae	39.71	3.5
Aves	Cygnus_atratus	38.15	3.41176470588235
Aves	Athene_cunicularia	39.60	3.51351351351351
Aves	Phalacrocorax_carbo	39.32	3.54545454545455
Aves	Caprimulgus_carolinensis	41.04	3.5609756097561
Aves	Pterocles_gutturalis	40.75	3.6
