Species_name	Group	GNAS	GNAL	GNAI1	GNAI2	GNAI3	GoA	GoB	GNAZ	GNA11	GNA14	GNA15	GNAQ	GNA12	GNA13	Barr1-GRK2	Barr2	Barr2-GRK2
Chrysochloris asiatica	Afrotheria	0.141	0.226	0.999	0.907	0.999	0.964	0.938	0.877	0.206	0.874	0.233	0.491	0.508	0.353	0.657	0.497	0.5
Dugong dugon	Afrotheria	0.206	0.157	0.999	0.924	1	0.973	0.942	0.877	0.259	0.798	0.23	0.472	0.534	0.274	0.794	0.497	0.501
Echinops telfairi	Afrotheria	0.135	0.21	1	0.913	0.999	0.984	0.934	0.878	0.212	0.852	0.228	0.459	0.513	0.311	0.694	0.497	0.501
Elephantulus edwardii	Afrotheria	0.153	0.066	1	0.942	1	1	0.974	0.904	0.302	0.757	0.193	0.396	0.66	0.289	0.844	0.498	0.501
Elephas maximus	Afrotheria	0.175	0.132	0.999	0.907	0.999	0.968	0.96	0.885	0.226	0.863	0.251	0.502	0.538	0.371	0.735	0.496	0.501
Heterohyrax brucei	Afrotheria	0.189	0.172	0.999	0.904	0.999	0.918	0.93	0.88	0.211	0.795	0.289	0.475	0.453	0.322	0.779	0.497	0.501
Loxodonta africana	Afrotheria	0.173	0.135	0.999	0.907	0.999	0.973	0.959	0.885	0.229	0.864	0.253	0.5	0.532	0.384	0.736	0.496	0.501
Orycteropus afer	Afrotheria	0.145	0.121	0.999	0.913	0.999	0.991	0.959	0.882	0.22	0.862	0.228	0.482	0.525	0.356	0.783	0.496	0.501
Procavia capensis	Afrotheria	0.249	0.195	0.999	0.908	0.997	0.938	0.923	0.872	0.224	0.762	0.187	0.496	0.473	0.377	0.735	0.497	0.501
Trichechus manatus	Afrotheria	0.2	0.153	0.999	0.925	1	0.976	0.945	0.877	0.26	0.858	0.232	0.479	0.538	0.315	0.831	0.497	0.501
Bombina bombina	Amphibia	0.53	0.227	0.907	0.853	0.988	0.762	0.872	0.851	0.255	0.771	0.144	0.442	0.611	0.363	0.436	0.492	0.5
Geotrypetes seraphini	Amphibia	0.596	0.324	0.996	0.892	0.994	0.731	0.864	0.885	0.238	0.73	0.403	0.417	0.717	0.372	0.79	0.497	0.501
Hyla sarda	Amphibia	0.379	0.241	0.994	0.871	0.998	0.771	0.87	0.886	0.266	0.62	0.207	0.41	0.549	0.295	0.756	0.496	0.501
Rhinatrema bivittatum	Amphibia	0.407	0.233	0.99	0.861	0.991	0.624	0.898	0.872	0.24	0.853	0.417	0.512	0.717	0.561	0.864	0.496	0.501
Spea bombifrons	Amphibia	0.633	0.344	0.822	0.83	0.996	0.589	0.85	0.854	0.273	0.74	0.157	0.459	0.591	0.363	0.703	0.494	0.5
Xenopus laevis	Amphibia	0.689	0.195	1	0.837	0.997	0.993	0.942	0.87	0.34	0.495	0.128	0.439	0.685	0.27	0.756	0.496	0.501
Axis porcinus	Artiodactyla	0.118	0.275	0.999	0.902	0.998	0.948	0.919	0.882	0.202	0.813	0.246	0.459	0.471	0.37	0.845	0.498	0.501
Balaenoptera acutorostrata	Artiodactyla	0.154	0.288	0.999	0.909	0.998	0.953	0.922	0.879	0.191	0.843	0.294	0.464	0.439	0.342	0.658	0.498	0.5
Balaenoptera musculus	Artiodactyla	0.154	0.251	0.999	0.915	0.998	0.967	0.926	0.882	0.189	0.859	0.308	0.47	0.445	0.342	0.688	0.497	0.501
Bison bison	Artiodactyla	0.137	0.271	0.999	0.902	0.997	0.895	0.918	0.881	0.194	0.832	0.262	0.452	0.496	0.361	0.767	0.498	0.501
Bos indicus	Artiodactyla	0.159	0.288	0.999	0.903	0.997	0.901	0.91	0.876	0.197	0.823	0.254	0.452	0.497	0.374	0.768	0.498	0.501
Bos mutus	Artiodactyla	0.14	0.24	0.999	0.897	0.998	0.837	0.921	0.879	0.199	0.844	0.256	0.455	0.491	0.355	0.813	0.498	0.501
Bos taurus	Artiodactyla	0.143	0.265	0.999	0.903	0.997	0.904	0.919	0.88	0.197	0.825	0.253	0.456	0.496	0.37	0.755	0.498	0.501
Bubalus bubalis	Artiodactyla	0.129	0.264	0.999	0.906	0.997	0.932	0.919	0.879	0.19	0.833	0.263	0.455	0.463	0.354	0.712	0.498	0.5
Bubalus carabanensis	Artiodactyla	0.128	0.262	0.999	0.906	0.997	0.931	0.921	0.878	0.19	0.832	0.264	0.459	0.459	0.356	0.695	0.498	0.5
Budorcas taxicolor	Artiodactyla	0.148	0.26	0.999	0.903	0.996	0.858	0.917	0.88	0.19	0.808	0.289	0.45	0.474	0.306	0.732	0.498	0.501
Camelus bactrianus	Artiodactyla	0.252	0.266	0.997	0.876	0.998	0.693	0.9	0.862	0.204	0.86	0.197	0.417	0.525	0.315	0.637	0.496	0.5
Camelus dromedarius	Artiodactyla	0.136	0.224	0.999	0.917	0.999	0.973	0.939	0.882	0.193	0.86	0.308	0.459	0.505	0.386	0.746	0.497	0.501
Camelus ferus	Artiodactyla	0.136	0.224	0.999	0.917	0.999	0.973	0.939	0.882	0.193	0.86	0.308	0.459	0.505	0.386	0.746	0.497	0.501
Capra hircus	Artiodactyla	0.135	0.238	0.999	0.903	0.997	0.907	0.918	0.88	0.19	0.816	0.279	0.453	0.462	0.329	0.682	0.498	0.5
Catagonus wagneri	Artiodactyla	0.139	0.243	0.999	0.902	0.997	0.959	0.935	0.884	0.197	0.829	0.296	0.462	0.441	0.32	0.678	0.496	0.5
Cervus canadensis	Artiodactyla	0.13	0.188	1	0.918	1	0.999	0.954	0.905	0.242	0.687	0.232	0.433	0.548	0.316	0.908	0.498	0.501
Cervus elaphus	Artiodactyla	0.13	0.188	1	0.918	1	0.999	0.954	0.905	0.242	0.687	0.232	0.433	0.548	0.316	0.908	0.498	0.501
Delphinapterus leucas	Artiodactyla	0.164	0.276	0.999	0.917	0.998	0.981	0.916	0.884	0.193	0.842	0.269	0.449	0.425	0.309	0.735	0.498	0.501
Giraffa camelopardalis	Artiodactyla	0.126	0.248	0.999	0.911	0.998	0.965	0.923	0.882	0.197	0.82	0.29	0.43	0.442	0.331	0.753	0.498	0.501
Globicephala melas	Artiodactyla	0.156	0.254	0.999	0.908	0.997	0.977	0.927	0.884	0.207	0.81	0.248	0.465	0.411	0.309	0.7	0.497	0.501
Hippopotamus amphibius	Artiodactyla	0.135	0.248	0.999	0.905	0.999	0.978	0.935	0.884	0.2	0.859	0.278	0.482	0.498	0.398	0.699	0.497	0.501
Lagenorhynchus obliquidens	Artiodactyla	0.138	0.249	0.999	0.911	0.998	0.975	0.935	0.886	0.197	0.827	0.277	0.465	0.415	0.337	0.677	0.497	0.501
Lipotes vexillifer	Artiodactyla	0.166	0.31	0.999	0.913	0.998	0.977	0.91	0.884	0.198	0.806	0.254	0.458	0.452	0.338	0.664	0.498	0.5
Monodon monoceros	Artiodactyla	0.154	0.284	0.999	0.914	0.998	0.978	0.918	0.882	0.193	0.831	0.265	0.449	0.419	0.33	0.683	0.498	0.501
Moschus berezovskii	Artiodactyla	0.129	0.21	1	0.911	0.998	0.966	0.918	0.882	0.195	0.776	0.245	0.428	0.49	0.351	0.73	0.498	0.501
Neophocaena asiaeorientalis	Artiodactyla	0.118	0.25	1	0.905	0.999	0.971	0.917	0.885	0.19	0.828	0.268	0.443	0.412	0.314	0.659	0.498	0.5
Odocoileus virginianus	Artiodactyla	0.114	0.223	1	0.907	0.998	0.959	0.92	0.88	0.203	0.824	0.24	0.46	0.492	0.409	0.863	0.497	0.501
Orcinus orca	Artiodactyla	0.14	0.261	0.999	0.911	0.998	0.971	0.936	0.886	0.204	0.823	0.279	0.481	0.422	0.336	0.682	0.497	0.501
Oryx dammah	Artiodactyla	0.119	0.258	1	0.908	0.998	0.905	0.915	0.882	0.194	0.817	0.304	0.457	0.46	0.297	0.732	0.498	0.501
Ovis aries	Artiodactyla	0.138	0.237	0.999	0.902	0.997	0.91	0.921	0.88	0.192	0.803	0.276	0.449	0.466	0.331	0.697	0.498	0.5
Phacochoerus africanus	Artiodactyla	0.16	0.271	0.999	0.9	0.997	0.941	0.918	0.883	0.196	0.839	0.3	0.451	0.473	0.339	0.687	0.497	0.501
Phocoena sinus	Artiodactyla	0.118	0.25	1	0.905	0.999	0.971	0.917	0.885	0.19	0.828	0.268	0.443	0.412	0.314	0.659	0.498	0.5
Physeter catodon	Artiodactyla	0.183	0.335	0.999	0.906	0.998	0.96	0.908	0.878	0.194	0.835	0.249	0.458	0.47	0.362	0.606	0.497	0.5
Rangifer tarandus	Artiodactyla	0.116	0.264	0.999	0.904	0.998	0.96	0.917	0.881	0.205	0.807	0.219	0.453	0.505	0.391	0.853	0.497	0.501
Sus scrofa	Artiodactyla	0.16	0.28	0.999	0.9	0.997	0.948	0.92	0.883	0.197	0.849	0.304	0.461	0.477	0.349	0.655	0.497	0.5
Tursiops truncatus	Artiodactyla	0.124	0.264	0.999	0.909	0.998	0.977	0.932	0.887	0.199	0.816	0.264	0.469	0.42	0.35	0.662	0.497	0.501
Vicugna pacos	Artiodactyla	0.136	0.215	0.999	0.916	0.999	0.972	0.941	0.883	0.191	0.864	0.314	0.465	0.499	0.389	0.69	0.497	0.5
Accipiter gentilis	Aves	0.604	0.414	0.993	0.848	0.992	0.678	0.9	0.848	0.262	0.805	0.338	0.504	0.579	0.382	0.595	0.495	0.5
Anas platyrhynchos	Aves	0.549	0.388	0.992	0.834	0.991	0.63	0.934	0.84	0.269	0.83	0.299	0.545	0.65	0.489	0.81	0.495	0.501
Antrostomus carolinensis	Aves	0.498	0.389	0.995	0.858	0.992	0.62	0.904	0.858	0.249	0.814	0.338	0.493	0.54	0.356	0.712	0.496	0.501
Aptenodytes forsteri	Aves	0.502	0.329	0.995	0.84	0.995	0.641	0.922	0.856	0.256	0.833	0.331	0.511	0.606	0.413	0.774	0.495	0.501
Apteryx mantelli	Aves	0.465	0.42	0.996	0.833	0.994	0.377	0.903	0.857	0.239	0.778	0.315	0.485	0.579	0.393	0.749	0.496	0.5
