# klumpy find_klumps --subject MED11_ELP5.All.read.fq --query SRR25741339.4564582.fa
Sequence	Seq_Length	Klump	Klump_Start	Klump_End	Query	Kmer_Count	Direction
SRR25741332.294199	7977	Klump1	3	7847	SRR25741339.4564582	554	F
SRR25741332.294199	7977	Klump2	4	7937	SRR25741339.4564582	1571	R
SRR25741332.1048731	9686	Klump1	162	9683	SRR25741339.4564582	1561	F
SRR25741332.1048731	9686	Klump2	9425	9450	SRR25741339.4564582	7	R
SRR25741332.1048731	9686	Klump3	6596	8414	SRR25741339.4564582	94	R
SRR25741332.1048731	9686	Klump4	1237	5472	SRR25741339.4564582	310	R
SRR25741332.1496501	28928	Klump1	23	12625	SRR25741339.4564582	557	F
SRR25741332.1496501	28928	Klump2	13835	28291	SRR25741339.4564582	812	F
SRR25741332.1496501	28928	Klump3	27977	28290	SRR25741339.4564582	5	R
SRR25741332.1496501	28928	Klump4	18811	23554	SRR25741339.4564582	115	R
SRR25741332.1496501	28928	Klump5	13617	17617	SRR25741339.4564582	53	R
SRR25741332.1496501	28928	Klump6	12454	12624	SRR25741339.4564582	7	R
SRR25741332.1496501	28928	Klump7	7095	11333	SRR25741339.4564582	113	R
SRR25741332.2165165	13135	Klump1	39	2678	SRR25741339.4564582	178	F
SRR25741332.2165165	13135	Klump2	3704	13065	SRR25741339.4564582	585	F
SRR25741332.2165165	13135	Klump3	3703	12821	SRR25741339.4564582	250	R
SRR25741332.2165165	13135	Klump4	46	1251	SRR25741339.4564582	117	R
SRR25741332.2593381	20430	Klump1	11	20426	SRR25741339.4564582	3427	F
SRR25741332.2593381	20430	Klump2	12915	20426	SRR25741339.4564582	416	R
SRR25741332.2593381	20430	Klump3	8138	10136	SRR25741339.4564582	282	R
SRR25741332.2593381	20430	Klump4	217	1605	SRR25741339.4564582	130	R
SRR25741332.2640365	4155	Klump1	73	3736	SRR25741339.4564582	45	F
SRR25741332.2640365	4155	Klump2	342	3842	SRR25741339.4564582	120	R
SRR25741332.3435391	35249	Klump1	3073	15822	SRR25741339.4564582	1362	F
SRR25741332.3435391	35249	Klump2	21358	21374	SRR25741339.4564582	1	R
SRR25741332.3435391	35249	Klump3	18013	18030	SRR25741339.4564582	2	R
SRR25741332.3435391	35249	Klump4	15967	15987	SRR25741339.4564582	4	R
SRR25741332.3435391	35249	Klump5	10017	14842	SRR25741339.4564582	288	R
SRR25741332.3435391	35249	Klump6	8553	8577	SRR25741339.4564582	9	R
SRR25741332.3435391	35249	Klump7	86	2645	SRR25741339.4564582	210	R
SRR25741332.3759389	13981	Klump1	92	9491	SRR25741339.4564582	298	F
SRR25741332.3759389	13981	Klump2	92	13949	SRR25741339.4564582	1574	R
SRR25741332.3780167	23561	Klump1	153	174	SRR25741339.4564582	3	F
SRR25741332.3780167	23561	Klump2	2440	13128	SRR25741339.4564582	354	F
SRR25741332.3780167	23561	Klump3	15367	17538	SRR25741339.4564582	134	F
SRR25741332.3780167	23561	Klump4	28	23317	SRR25741339.4564582	1462	R
SRR25741332.4852415	17184	Klump1	328	589	SRR25741339.4564582	14	F
SRR25741332.4852415	17184	Klump2	2236	2412	SRR25741339.4564582	8	F
SRR25741332.4852415	17184	Klump3	3633	11225	SRR25741339.4564582	132	F
SRR25741332.4852415	17184	Klump4	17092	17167	SRR25741339.4564582	7	R
SRR25741332.4852415	17184	Klump5	13044	13926	SRR25741339.4564582	24	R
SRR25741332.4852415	17184	Klump6	10410	12027	SRR25741339.4564582	88	R
SRR25741332.4852415	17184	Klump7	330	9224	SRR25741339.4564582	330	R
SRR25741332.5027432	16404	Klump1	1	67	SRR25741339.4564582	5	F
SRR25741332.5027432	16404	Klump2	3159	3459	SRR25741339.4564582	11	F
SRR25741332.5027432	16404	Klump3	4577	4593	SRR25741339.4564582	1	F
SRR25741332.5027432	16404	Klump4	5620	7510	SRR25741339.4564582	33	F
SRR25741332.5027432	16404	Klump5	9704	11000	SRR25741339.4564582	36	F
SRR25741332.5027432	16404	Klump6	12667	14008	SRR25741339.4564582	11	F
SRR25741332.5027432	16404	Klump7	15476	16404	SRR25741339.4564582	7	F
SRR25741332.5027432	16404	Klump8	14577	16230	SRR25741339.4564582	15	R
SRR25741332.5027432	16404	Klump9	13020	13450	SRR25741339.4564582	3	R
SRR25741332.5027432	16404	Klump10	6277	10996	SRR25741339.4564582	215	R
SRR25741332.5027432	16404	Klump11	3094	3524	SRR25741339.4564582	13	R
SRR25741332.5027432	16404	Klump12	935	955	SRR25741339.4564582	3	R
SRR25741333.56493	7977	Klump1	3	7847	SRR25741339.4564582	554	F
SRR25741333.56493	7977	Klump2	4	7937	SRR25741339.4564582	1571	R
SRR25741333.471873	20430	Klump1	11	20426	SRR25741339.4564582	3427	F
SRR25741333.471873	20430	Klump2	12915	20426	SRR25741339.4564582	416	R
SRR25741333.471873	20430	Klump3	8138	10136	SRR25741339.4564582	282	R
SRR25741333.471873	20430	Klump4	217	1605	SRR25741339.4564582	130	R
