""	"Group"	"Codon.freq"	"Foreground.Species"	"Background.Species"	"ω.value.M0"	"lnL.M0"	"np.M0"	"ω.value.branch.neutral.foreground"	"ω.value.branch.neutral.background"	"lnL.bneutral"	"np.bneutral"	"ω.value.branchfree.foreground"	"ω.value.branchfree.background"	"lnL.bfree"	"np.bfree"	"pvalm0_bfree"	"pavalbne_bfree"	"adjusted_pvalm0_bfree"	"adjusted_pavalbne_bfree"
"1"	"Pseudonaja_textilis"	"F1x4"	"Pseudonaja_textilis"	"Python_molurus,Ptyas_mucosa,Pantherophis_obsoletus,Pantherophis_guttatus,Pituophis_catenifer,Thamnophis_elegans,Vipera_berus,Crotalus_tigris,Bothrops_jararaca,Protobothrops_mucrosquamatus,Varanus_komodoensis,Anolis_carolinensis,Phrynosoma_platyrhinos,Sceloporus_undulatus,Pogona_vitticeps"	0.32309	-4859.982467	31	1	0.31326	-4860.709444	31	0.52088	0.31303	-4858.738171	32	0.114674273406238	0.0470794735267166	0.335425036542658	0.0849797358638867
"2"	"Pseudonaja_textilis"	"F3x4"	"Pseudonaja_textilis"	"Python_molurus,Ptyas_mucosa,Pantherophis_obsoletus,Pantherophis_guttatus,Pituophis_catenifer,Thamnophis_elegans,Vipera_berus,Crotalus_tigris,Bothrops_jararaca,Protobothrops_mucrosquamatus,Varanus_komodoensis,Anolis_carolinensis,Phrynosoma_platyrhinos,Sceloporus_undulatus,Pogona_vitticeps"	0.32946	-4865.793243	31	1	0.3194	-4866.561865	31	0.52393	0.31931	-4864.616613	32	0.125021313654227	0.0485598490650781	0.335425036542658	0.0849797358638867
"3"	"Hydrophis_cyanocinctus"	"F1x4"	"Hydrophis_cyanocinctus"	"Python_molurus,Ptyas_mucosa,Pantherophis_obsoletus,Pantherophis_guttatus,Pituophis_catenifer,Thamnophis_elegans,Vipera_berus,Crotalus_tigris,Bothrops_jararaca,Protobothrops_mucrosquamatus,Varanus_komodoensis,Anolis_carolinensis,Phrynosoma_platyrhinos,Sceloporus_undulatus,Pogona_vitticeps"	0.30021	-4806.170547	31	1	0.28719	-4806.96875	31	0.50739	0.28672	-4804.162197	32	0.0450517832540442	0.0178266375418786	0.264378937475133	0.0381682896184991
"4"	"Hydrophis_cyanocinctus"	"F3x4"	"Hydrophis_cyanocinctus"	"Python_molurus,Ptyas_mucosa,Pantherophis_obsoletus,Pantherophis_guttatus,Pituophis_catenifer,Thamnophis_elegans,Vipera_berus,Crotalus_tigris,Bothrops_jararaca,Protobothrops_mucrosquamatus,Varanus_komodoensis,Anolis_carolinensis,Phrynosoma_platyrhinos,Sceloporus_undulatus,Pogona_vitticeps"	0.30459	-4809.56273	31	1	0.29131	-4810.437562	31	0.50862	0.29104	-4807.647979	32	0.0503578928524063	0.0181753760088091	0.264378937475133	0.0381682896184991
"5"	"Naja_naja"	"F1x4"	"Naja_naja"	"Python_molurus,Ptyas_mucosa,Pantherophis_obsoletus,Pantherophis_guttatus,Pituophis_catenifer,Thamnophis_elegans,Vipera_berus,Crotalus_tigris,Bothrops_jararaca,Protobothrops_mucrosquamatus,Varanus_komodoensis,Anolis_carolinensis,Phrynosoma_platyrhinos,Sceloporus_undulatus,Pogona_vitticeps"	0.32521	-5199.069378	31	1	0.32366	-5204.250003	31	0.35595	0.3234	-5199.024122	32	0.763527260003635	0.00122532516299083	0.835177395249172	0.00302727393209499
"6"	"Naja_naja"	"F3x4"	"Naja_naja"	"Python_molurus,Ptyas_mucosa,Pantherophis_obsoletus,Pantherophis_guttatus,Pituophis_catenifer,Thamnophis_elegans,Vipera_berus,Crotalus_tigris,Bothrops_jararaca,Protobothrops_mucrosquamatus,Varanus_komodoensis,Anolis_carolinensis,Phrynosoma_platyrhinos,Sceloporus_undulatus,Pogona_vitticeps"	0.32902	-5200.829954	31	1	0.32732	-5205.947391	31	0.35844	0.32726	-5200.789296	32	0.775521867017088	0.00131868239456643	0.835177395249172	0.00307692558732167
"7"	"Toxicofera"	"F1x4"	"Anolis_carolinensis"	"Python_molurus,Pseudonaja_textilis,Hydrophis_cyanocinctus,Naja_naja,Ptyas_mucosa,Pantherophis_obsoletus,Pantherophis_guttatus,Pituophis_catenifer,Thamnophis_elegans,Vipera_berus,Crotalus_tigris,Bothrops_jararaca,Protobothrops_mucrosquamatus,Varanus_komodoensis,Phrynosoma_platyrhinos,Sceloporus_undulatus,Pogona_vitticeps"	0.33137	-5040.793153	35	1	0.32929	-5050.897342	35	0.30796	0.33414	-5040.745345	36	0.757155421391306	6.60625371537622e-06	0.835177395249172	9.09863535211377e-05
"8"	"Toxicofera"	"F3x4"	"Anolis_carolinensis"	"Python_molurus,Pseudonaja_textilis,Hydrophis_cyanocinctus,Naja_naja,Ptyas_mucosa,Pantherophis_obsoletus,Pantherophis_guttatus,Pituophis_catenifer,Thamnophis_elegans,Vipera_berus,Crotalus_tigris,Bothrops_jararaca,Protobothrops_mucrosquamatus,Varanus_komodoensis,Phrynosoma_platyrhinos,Sceloporus_undulatus,Pogona_vitticeps"	0.33565	-5051.005375	35	1	0.33336	-5060.845844	35	0.31067	0.33861	-5050.953273	36	0.746841832798702	8.66536700201311e-06	0.835177395249172	9.09863535211377e-05
"9"	"Toxicofera"	"F1x4"	"Bothrops_jararaca"	"Python_molurus,Pseudonaja_textilis,Hydrophis_cyanocinctus,Naja_naja,Ptyas_mucosa,Pantherophis_obsoletus,Pantherophis_guttatus,Pituophis_catenifer,Thamnophis_elegans,Vipera_berus,Crotalus_tigris,Protobothrops_mucrosquamatus,Varanus_komodoensis,Anolis_carolinensis,Phrynosoma_platyrhinos,Sceloporus_undulatus,Pogona_vitticeps"	0.33137	-5040.793153	35	1	0.33115	-5041.704092	35	0.36798	0.33099	-5040.782362	36	0.883204531142053	0.174545954957408	0.883457338362454	0.236481616393908
"10"	"Toxicofera"	"F3x4"	"Bothrops_jararaca"	"Python_molurus,Pseudonaja_textilis,Hydrophis_cyanocinctus,Naja_naja,Ptyas_mucosa,Pantherophis_obsoletus,Pantherophis_guttatus,Pituophis_catenifer,Thamnophis_elegans,Vipera_berus,Crotalus_tigris,Protobothrops_mucrosquamatus,Varanus_komodoensis,Anolis_carolinensis,Phrynosoma_platyrhinos,Sceloporus_undulatus,Pogona_vitticeps"	0.33565	-5051.005375	35	1	0.33538	-5051.887446	35	0.37273	0.33526	-5050.994631	36	0.883457338362454	0.181459511805531	0.883457338362454	0.238165609244759
