test	pval	kval
Acanthisitta_chloris	0.0000	0.18
Aquila_chrysaetos	0.6130	0.61
Colius_striatus	0.0009	2.31
Falco_peregrinus	0.8329	1.17
Falco_tinnunculus	0.7400	1.33
Haliaeetus_leucocephalus	0.8692	1.11
Leptosomus_discolor	0.1957	1.53
Tyto_alba	0.1165	1.70
Camarhynchus_parvulus	0.0000	0.00
Chloebia_gouldiae	0.0000	0.00
Coloeus_monedula	0.0001	0.00
Corvus_brachyrhynchos	0.0000	0.00
Corvus_moneduloides	0.0002	0.00
Ficedula_albicollis	0.0000	0.00
Geospiza_fortis	0.0000	0.00
Lonchura_striata	0.0000	0.00
Malurus_cyaneus	0.0000	0.06
Manacus_vitellinus	0.0000	0.00
Oriolus_oriolus	0.0000	0.04
Parus_major	0.0000	0.08
Passer_domesticus	0.0000	0.00
Serinus_canaria	0.0000	0.13
Taeniopygia_guttata	0.0000	0.00
Zonotrichia_albicollis	0.0000	0.00
