test	pval
Acomys_russatus	NA
Apodemus_sylvaticus	NA
Arvicanthis_niloticus	NA
Arvicola_amphibius	NA
Castor_canadensis	0.01443
Cavia_aperea	NA
Cavia_porcellus	NA
Chinchilla_lanigera	NA
Chionomys_nivalis	NA
Cricetulus_griseus	NA
Dipodomys_spectabilis	0.00921
Fukomys_damarensis	NA
Grammomys_surdaster	NA
Heterocephalus_glaber	NA
Ictidomys_tridecemlineatus	NA
Jaculus_jaculus	NA
Marmota_flaviventris	NA
Marmota_marmota	NA
Marmota_monax	NA
Mastomys_coucha	NA
Meriones_unguiculatus	NA
Mesocricetus_auratus	NA
Microtus_fortis	NA
Microtus_ochrogaster	NA
Microtus_oregoni	NA
Mus_caroli	NA
Mus_musculus	NA
Mus_pahari	NA
Mus_spicilegus	NA
Mus_spretus	NA
Nannospalax_galili	NA
Octodon_degus	NA
Onychomys_torridus	NA
Perognathus_longimembris	0.00016
Peromyscus_californicus	NA
Peromyscus_leucopus	NA
Peromyscus_maniculatus	NA
Phodopus_roborovskii	NA
Psammomys_obesus	NA
Rattus_norvegicus	NA
Sciurus_carolinensis	NA
Spermophilus_dauricus	NA
Urocitellus_parryii	NA
