SRR_Acc	Exon	read_count	Bit_score	E_value
SRR22137891	Exon1	1	143	4.00E-31
SRR22137890	Exon1	1	143	4.00E-31
SRR22137890	Exon1	1	123	3.00E-25
SRR22137893	Exon1	2	109	7.00E-21
SRR22137890	Exon1	1	109	7.00E-21
SRR22137893	Exon1	2	91.5	2.00E-15
SRR22137893	Exon1	1	82.4	1.00E-12
SRR22137891	Exon1	1	64.4	3.00E-07
SRR22137875	Exon1	1	56.3	1.00E-04
SRR22137899	Exon1	2	54.5	5.00E-04
SRR22137897	Exon1	1	54.5	5.00E-04
SRR22137893	Exon1	2	53.6	5.00E-04
SRR22137890	Exon1	1	53.6	5.00E-04
SRR22137898	Exon1	1	52.7	2.00E-03
SRR22137899	Exon1	1	51.8	2.00E-03
SRR22137897	Exon1	2	51.8	2.00E-03
SRR22137896	Exon1	1	51.8	2.00E-03
SRR22137895	Exon1	2	51.8	2.00E-03
SRR22137894	Exon1	1	51.8	2.00E-03
SRR22137893	Exon1	6	51.8	2.00E-03
SRR22137891	Exon1	14	51.8	2.00E-03
SRR22137890	Exon1	1	51.8	2.00E-03
SRR22137879	Exon1	4	51.8	2.00E-03
SRR22137877	Exon1	3	51.8	2.00E-03
SRR22137876	Exon1	3	51.8	2.00E-03
SRR22137875	Exon1	3	51.8	2.00E-03
SRR22137899	Exon1	2	50.9	6.00E-03
SRR22137898	Exon1	12	50.9	6.00E-03
SRR22137897	Exon1	7	50.9	6.00E-03
SRR22137896	Exon1	2	50.9	6.00E-03
SRR22137895	Exon1	6	50.9	6.00E-03
SRR22137894	Exon1	2	50.9	6.00E-03
SRR22137893	Exon1	3	50.9	6.00E-03
SRR22137892	Exon1	6	50.9	6.00E-03
SRR22137891	Exon1	6	50.9	6.00E-03
SRR22137890	Exon1	2	50.9	6.00E-03
SRR22137879	Exon1	4	50.9	6.00E-03
SRR22137878	Exon1	3	50.9	6.00E-03
SRR22137877	Exon1	10	50.9	6.00E-03
SRR22137876	Exon1	1	50.9	6.00E-03
SRR22137875	Exon1	8	50.9	6.00E-03
SRR22137899	Exon1	8	50	6.00E-03
SRR22137898	Exon1	6	50	6.00E-03
SRR22137897	Exon1	10	50	6.00E-03
SRR22137896	Exon1	9	50	6.00E-03
SRR22137895	Exon1	5	50	6.00E-03
SRR22137894	Exon1	4	50	6.00E-03
SRR22137893	Exon1	12	50	6.00E-03
SRR22137892	Exon1	6	50	6.00E-03
SRR22137891	Exon1	8	50	6.00E-03
SRR22137890	Exon1	2	50	6.00E-03
SRR22137879	Exon1	11	50	6.00E-03
SRR22137878	Exon1	14	50	6.00E-03
SRR22137876	Exon1	3	50	6.00E-03
SRR22137875	Exon1	5	50	6.00E-03
SRR22137899	Exon1	7	49.1	2.10E-02
SRR22137898	Exon1	5	49.1	2.10E-02
SRR22137897	Exon1	6	49.1	2.10E-02
SRR22137896	Exon1	9	49.1	2.10E-02
SRR22137895	Exon1	7	49.1	2.10E-02
SRR22137894	Exon1	6	49.1	2.10E-02
SRR22137893	Exon1	7	49.1	2.10E-02
SRR22137892	Exon1	9	49.1	2.10E-02
SRR22137891	Exon1	13	49.1	2.10E-02
SRR22137890	Exon1	12	49.1	2.10E-02
SRR22137879	Exon1	4	49.1	2.10E-02
SRR22137878	Exon1	8	49.1	2.10E-02
SRR22137877	Exon1	10	49.1	2.10E-02
SRR22137876	Exon1	9	49.1	2.10E-02
SRR22137875	Exon1	8	49.1	2.10E-02
SRR22137898	Exon1	3	48.2	2.10E-02
SRR22137897	Exon1	7	48.2	2.10E-02
SRR22137896	Exon1	8	48.2	2.10E-02
SRR22137895	Exon1	4	48.2	2.10E-02
SRR22137894	Exon1	3	48.2	2.10E-02
SRR22137893	Exon1	4	48.2	2.10E-02
SRR22137892	Exon1	5	48.2	2.10E-02
SRR22137891	Exon1	6	48.2	2.10E-02
SRR22137890	Exon1	12	48.2	2.10E-02
SRR22137879	Exon1	8	48.2	2.10E-02
SRR22137878	Exon1	10	48.2	2.10E-02
SRR22137877	Exon1	4	48.2	2.10E-02
SRR22137876	Exon1	10	48.2	2.10E-02
SRR22137875	Exon1	7	48.2	2.10E-02
SRR22137891	Exon2	1	196	1.00E-46
SRR22137891	Exon2	1	179	1.00E-41
SRR22137891	Exon2	1	175	5.00E-40
SRR22137890	Exon2	2	174	5.00E-40
SRR22137893	Exon2	1	168	2.00E-38
SRR22137890	Exon2	1	116	1.00E-22
SRR22137891	Exon2	1	62.6	2.00E-06
SRR22137893	Exon3	2	150	3.00E-33
SRR22137891	Exon3	1	150	3.00E-33
SRR22137893	Exon3	1	146	1.00E-31
SRR22137893	Exon3	1	51.8	2.00E-03
SRR22137893	Exon4	5	271	8.00E-69
SRR22137891	Exon4	3	271	8.00E-69
SRR22137890	Exon4	2	271	8.00E-69
SRR22137893	Exon4	1	267	4.00E-67
SRR22137890	Exon4	1	267	4.00E-67
SRR22137890	Exon4	2	147	2.00E-31
SRR22137890	Exon4	1	134	1.00E-27
SRR22137893	Exon4	1	132	5.00E-27
SRR22137891	Exon4	1	132	5.00E-27
SRR22137890	Exon4	5	98.7	1.00E-16
SRR22137891	Exon4	3	93.3	5.00E-15
SRR22137893	Exon4	1	75.2	1.00E-09
SRR22137890	Exon5	1	80.6	1.00E-12
SRR22137891	Exon5	1	55.4	4.00E-05
