Group	Species_name	GC
Afrotheria	Loxodonta_africana	54.80
Afrotheria	Trichechus_manatus	56.27
Afrotheria	Echinops_telfairi	55.56
Afrotheria	Elephantulus_edwardii	52.88
Afrotheria	Orycteropus_afer	57.26
Afrotheria	Elephas_maximus	54.68
Amphibia	Geotrypetes_seraphini	42.82
Amphibia	Xenopus_tropicalis	52.70
Amphibia	Xenopus_laevis	48.68
Artiodactyla	Sus_scrofa	58.55
Artiodactyla	Bos_taurus	54.02
Artiodactyla	Ovis_aries	54.69
Artiodactyla	Orcinus_orca	55.82
Artiodactyla	Tursiops_truncatus	55.95
Artiodactyla	Capra_hircus	55.81
Artiodactyla	Bos_mutus	54.15
Artiodactyla	Bubalus_bubalis	54.55
Artiodactyla	Camelus_ferus	56.12
Artiodactyla	Vicugna_pacos	55.86
Artiodactyla	Balaenoptera_acutorostrata	56.61
Artiodactyla	Lipotes_vexillifer	56.61
Artiodactyla	Bison_bison	53.89
Artiodactyla	Camelus_bactrianus	56.12
Artiodactyla	Camelus_dromedarius	56.12
Artiodactyla	Bos_indicus	53.75
Artiodactyla	Odocoileus_virginianus	54.64
Artiodactyla	Delphinapterus_leucas	57.52
Artiodactyla	Neophocaena_asiaeorientalis	57.83
Artiodactyla	Lagenorhynchus_obliquidens	56.08
Artiodactyla	Bos_indicus	54.15
Artiodactyla	Monodon_monoceros	57.20
Artiodactyla	Globicephala_melas	58.84
Artiodactyla	Phocoena_sinus	55.95
Artiodactyla	Balaenoptera_musculus	56.11
Artiodactyla	Oryx_dammah	54.17
Artiodactyla	Cervus_canadensis	55.08
Artiodactyla	Cervus_elaphus	55.34
Artiodactyla	Phacochoerus_africanus	58.64
Artiodactyla	Budorcas_taxicolor	56.03
Artiodactyla	Moschus_berezovskii	56.29
Artiodactyla	Bubalus_carabanensis	54.55
Artiodactyla	Hippopotamus_amphibius	56.67
Artiodactyla	Kogia_breviceps	55.69
Artiodactyla	Balaenoptera_ricei	56.35
Artiodactyla	Delphinus_delphis	55.42
Artiodactyla	Mesoplodon_densirostris	56.08
Artiodactyla	Lagenorhynchus_albirostris	56.08
Artiodactyla	Dama_dama	54.44
Artiodactyla	Eubalaena_glacialis	56.61
Artiodactyla	Bos_javanicus	54.15
Aves	Harpia_harpyja	70.68
Aves	Accipiter_gentilis	70.18
Aves	Gavia_stellata	70.02
Aves	Aquila_chrysaetos	71.10
Carnivora	Canis_lupus	57.42
Carnivora	Ailuropoda_melanoleuca	59.39
Carnivora	Felis_catus	61.11
Carnivora	Odobenus_rosmarus	59.50
Carnivora	Mustela_putorius	59.27
Carnivora	Leptonychotes_weddellii	61.76
Carnivora	Panthera_tigris	60.71
Carnivora	Ursus_maritimus	68.10
Carnivora	Acinonyx_jubatus	60.05
Carnivora	Panthera_pardus	60.98
Carnivora	Neomonachus_schauinslandi	67.46
Carnivora	Enhydra_lutris	59.70
Carnivora	Canis_lupus	57.42
Carnivora	Callorhinus_ursinus	67.05
Carnivora	Puma_concolor	60.19
Carnivora	Vulpes_vulpes	57.55
Carnivora	Ursus_arctos	58.99
Carnivora	Zalophus_californianus	59.36
Carnivora	Eumetopias_jubatus	59.10
Carnivora	Suricata_suricatta	60.15
Carnivora	Lynx_canadensis	61.51
Carnivora	Mustela_erminea	59.36
