species	Residues	Charge	Tiny	Small	Aliphatic	Aromatic	Non_polar	Polar	Charged	Basic	Acidic
Accipiter_gentilis	32	-2.5	11	19	6	7	14	18	6	2	4
Acinonyx_jubatus	31	-2.5	8	15	4	8	16	15	10	4	6
Acomys_russatus	39	-2.5	9	19	5	7	14	25	15	7	8
Ahaetulla_prasina	30	-5.0	8	13	4	7	13	17	9	2	7
Ailuropoda_melanoleuca	38	-1.5	9	16	4	10	15	23	14	7	7
Anas_platyrhynchos	32	-4.0	10	18	9	7	19	13	4	0	4
Anolis_carolinensis	32	-6.0	3	8	4	5	11	21	14	4	10
Anolis_sagrei_ordinatus	32	-5.0	4	9	4	5	12	20	13	4	9
Anser_cygnoides	32	-4.0	10	18	8	7	18	14	4	0	4
Antechinus_flavipes	32	-6.0	3	11	4	5	12	20	14	4	10
Antrostomus_carolinensis	32	-3.5	10	20	6	6	15	17	7	2	5
Aotus_nancymaae	29	-2.0	5	9	3	8	10	19	11	5	6
Apodemus_sylvaticus	48	-6.0	11	26	6	9	21	27	17	6	11
Aptenodytes_forsteri	31	-3.5	9	18	3	7	11	20	7	2	5
Apteryx_mantelli_mantelli	31	-4.5	13	20	2	7	11	20	8	2	6
Apteryx_rowi	31	-4.5	13	20	2	7	11	20	8	2	6
Aquila_chrysaetos_chrysaetos	32	-2.5	10	19	6	7	15	17	6	2	4
Artibeus_jamaicensis	90	-1.0	36	58	23	9	45	45	21	11	10
Arvicanthis_niloticus	41	-5.5	5	19	5	8	14	27	18	7	11
Arvicola_amphibius	32	-4.5	6	14	6	6	14	18	12	4	8
Athene_cunicularia	32	-2.5	9	18	7	7	16	16	6	2	4
Aythya_fuligula	32	-4.0	11	19	8	7	18	14	4	0	4
Balaenoptera_acutorostrata	31	-3.0	9	15	3	9	15	16	8	3	5
Balaenoptera_musculus	31	-1.0	10	15	3	9	14	17	8	4	4
Balaenoptera_ricei	31	-3.0	9	15	3	9	15	16	8	3	5
Balearica_regulorum_gibbericeps	32	-3.5	11	20	5	7	14	18	7	2	5
Bison_bison_bison	31	-2.5	8	14	4	7	14	17	8	3	5
Bombina_bombina	22	-4.0	5	9	2	5	7	15	9	3	6
Bos_indicus	31	-2.5	8	14	3	8	14	17	8	3	5
Bos_indicus_x_Bos_taurus	31	-2.5	8	14	3	8	14	17	8	3	5
Bos_mutus	31	-2.5	8	14	3	8	14	17	8	3	5
Bos_taurus	31	-2.5	8	14	3	8	14	17	8	3	5
Bubalus_bubalis	31	-2.5	8	14	4	7	14	17	8	3	5
Bubalus_carabanensis	31	-2.5	8	14	4	7	14	17	8	3	5
Budorcas_taxicolor	31	-3.5	8	14	3	8	13	18	7	2	5
Bufo_gargarizans	26	-5.5	3	13	2	6	10	16	10	3	7
Calidris_pugnax	32	-6.0	13	21	3	6	11	21	6	0	6
Callithrix_jacchus	29	-2.5	5	9	3	7	10	19	10	4	6
Callorhinus_ursinus	34	-0.5	8	15	2	7	14	20	12	6	6
Camelus_bactrianus	27	-3.0	6	14	3	7	9	18	10	4	6
Camelus_dromedarius	32	-2.0	7	14	4	9	12	20	11	5	6
Camelus_ferus	32	-2.0	7	14	4	9	12	20	11	5	6
Canis_lupus_dingo	31	-4.5	8	14	3	9	11	20	13	5	8
Canis_lupus_familiaris	31	-4.5	8	14	3	9	11	20	13	5	8
Capra_hircus	31	-3.5	8	14	2	8	13	18	7	2	5
Caretta_caretta	30	-3.5	5	14	6	5	15	15	9	3	6
Cariama_cristata	30	-2.5	10	19	3	7	12	18	6	2	4
Carlito_syrichta	31	-5.0	5	11	4	8	12	19	10	3	7
Castor_canadensis	34	-3.0	8	15	3	9	12	22	12	5	7
Cavia_porcellus	38	-6.5	9	19	7	7	17	21	15	5	10
Cebus_imitator	29	-2.0	5	9	3	8	10	19	11	5	6
Ceratotherium_simum_simum	31	-4.5	6	14	3	7	11	20	10	3	7
Cercocebus_atys	96	-4.5	28	48	21	14	39	57	31	14	17
Cervus_canadensis	58	-1.0	14	29	9	6	24	34	19	9	10
Cervus_elaphus	58	-1.0	14	29	9	6	24	34	19	9	10
Charadrius_vociferus	32	-3.5	9	19	4	7	13	19	7	2	5
Chelonia_mydas	30	-3.5	5	14	6	5	15	15	9	3	6
Chelonoidis_abingdonii	30	-3.5	6	13	5	6	15	15	9	3	6
Chinchilla_lanigera	38	-6.5	8	19	8	5	17	21	14	4	10
Chionomys_nivalis	31	-6.5	4	13	5	6	13	18	14	4	10
Chlorocebus_sabaeus	33	-6.0	6	14	3	9	12	21	11	3	8
Choloepus_didactylus	31	-3.5	7	14	6	6	13	18	11	4	7
Chrysemys_picta_bellii	30	-4.5	5	13	6	5	15	15	8	2	6
Chrysochloris_asiatica	30	-1.5	6	11	3	9	11	19	12	6	6
Colius_striatus	32	-4.5	9	20	5	7	14	18	8	2	6
Colobus_angolensis_palliatus	33	-7.0	6	14	3	9	12	21	12	3	9
Condylura_cristata	27	-2.0	7	11	3	7	9	18	9	4	5
Cricetulus_griseus	32	-5.0	4	13	5	7	12	20	14	5	9
Crotalus_tigris	30	-5.0	8	14	4	7	13	17	9	2	7
Cygnus_olor	32	-4.0	10	18	8	7	18	14	4	0	4
Dasypus_novemcinctus	69	-9.0	22	35	16	7	30	39	20	6	14
Delphinapterus_leucas	31	-3.0	9	15	4	8	15	16	8	3	5
Delphinus_delphis	31	-4.0	8	13	5	8	14	17	9	3	6
Desmodus_rotundus	32	-2.5	8	12	6	8	14	18	8	3	5
Diceros_bicornis_minor	31	-4.5	6	14	3	7	11	20	10	3	7
Dipodomys_spectabilis	36	-1.5	14	19	7	4	22	14	11	5	6
Dromaius_novaehollandiae	31	-5.0	10	20	3	6	12	19	7	1	6
Dromiciops_gliroides	31	-4.5	3	9	5	6	12	19	14	5	9
Echinops_telfairi	30	-3.0	6	11	4	7	12	18	12	5	7
Egretta_garzetta	32	-2.5	11	20	5	7	14	18	6	2	4
