Species_name	Group	GNAI1	GNAI2	GNAI3	GoA	GoB	GNAZ
Chrysochloris asiatica	Afrotheria	0.999	0.907	0.999	0.964	0.938	0.877
Dugong dugon	Afrotheria	0.999	0.924	1	0.973	0.942	0.877
Echinops telfairi	Afrotheria	1	0.913	0.999	0.984	0.934	0.878
Elephantulus edwardii	Afrotheria	1	0.942	1	1	0.974	0.904
Elephas maximus	Afrotheria	0.999	0.907	0.999	0.968	0.96	0.885
Heterohyrax brucei	Afrotheria	0.999	0.904	0.999	0.918	0.93	0.88
Loxodonta africana	Afrotheria	0.999	0.907	0.999	0.973	0.959	0.885
Orycteropus afer	Afrotheria	0.999	0.913	0.999	0.991	0.959	0.882
Procavia capensis	Afrotheria	0.999	0.908	0.997	0.938	0.923	0.872
Trichechus manatus	Afrotheria	0.999	0.925	1	0.976	0.945	0.877
Bombina bombina	Amphibia	0.907	0.853	0.988	0.762	0.872	0.851
Geotrypetes seraphini	Amphibia	0.996	0.892	0.994	0.731	0.864	0.885
Hyla sarda	Amphibia	0.994	0.871	0.998	0.771	0.87	0.886
Rhinatrema bivittatum	Amphibia	0.99	0.861	0.991	0.624	0.898	0.872
Spea bombifrons	Amphibia	0.822	0.83	0.996	0.589	0.85	0.854
Xenopus laevis	Amphibia	1	0.837	0.997	0.993	0.942	0.87
Axis porcinus	Artiodactyla	0.999	0.902	0.998	0.948	0.919	0.882
Balaenoptera acutorostrata	Artiodactyla	0.999	0.909	0.998	0.953	0.922	0.879
Balaenoptera musculus	Artiodactyla	0.999	0.915	0.998	0.967	0.926	0.882
Bison bison	Artiodactyla	0.999	0.902	0.997	0.895	0.918	0.881
Bos indicus	Artiodactyla	0.999	0.903	0.997	0.901	0.91	0.876
Bos mutus	Artiodactyla	0.999	0.897	0.998	0.837	0.921	0.879
Bos taurus	Artiodactyla	0.999	0.903	0.997	0.904	0.919	0.88
Bubalus bubalis	Artiodactyla	0.999	0.906	0.997	0.932	0.919	0.879
Bubalus carabanensis	Artiodactyla	0.999	0.906	0.997	0.931	0.921	0.878
Budorcas taxicolor	Artiodactyla	0.999	0.903	0.996	0.858	0.917	0.88
Camelus bactrianus	Artiodactyla	0.997	0.876	0.998	0.693	0.9	0.862
Camelus dromedarius	Artiodactyla	0.999	0.917	0.999	0.973	0.939	0.882
Camelus ferus	Artiodactyla	0.999	0.917	0.999	0.973	0.939	0.882
Capra hircus	Artiodactyla	0.999	0.903	0.997	0.907	0.918	0.88
Catagonus wagneri	Artiodactyla	0.999	0.902	0.997	0.959	0.935	0.884
Cervus canadensis	Artiodactyla	1	0.918	1	0.999	0.954	0.905
Cervus elaphus	Artiodactyla	1	0.918	1	0.999	0.954	0.905
Delphinapterus leucas	Artiodactyla	0.999	0.917	0.998	0.981	0.916	0.884
Giraffa camelopardalis	Artiodactyla	0.999	0.911	0.998	0.965	0.923	0.882
Globicephala melas	Artiodactyla	0.999	0.908	0.997	0.977	0.927	0.884
Hippopotamus amphibius	Artiodactyla	0.999	0.905	0.999	0.978	0.935	0.884
Lagenorhynchus obliquidens	Artiodactyla	0.999	0.911	0.998	0.975	0.935	0.886
Lipotes vexillifer	Artiodactyla	0.999	0.913	0.998	0.977	0.91	0.884
Monodon monoceros	Artiodactyla	0.999	0.914	0.998	0.978	0.918	0.882
Moschus berezovskii	Artiodactyla	1	0.911	0.998	0.966	0.918	0.882
Neophocaena asiaeorientalis	Artiodactyla	1	0.905	0.999	0.971	0.917	0.885
Odocoileus virginianus	Artiodactyla	1	0.907	0.998	0.959	0.92	0.88
Orcinus orca	Artiodactyla	0.999	0.911	0.998	0.971	0.936	0.886
Oryx dammah	Artiodactyla	1	0.908	0.998	0.905	0.915	0.882
Ovis aries	Artiodactyla	0.999	0.902	0.997	0.91	0.921	0.88
Phacochoerus africanus	Artiodactyla	0.999	0.9	0.997	0.941	0.918	0.883
Phocoena sinus	Artiodactyla	1	0.905	0.999	0.971	0.917	0.885
Physeter catodon	Artiodactyla	0.999	0.906	0.998	0.96	0.908	0.878
Rangifer tarandus	Artiodactyla	0.999	0.904	0.998	0.96	0.917	0.881
Sus scrofa	Artiodactyla	0.999	0.9	0.997	0.948	0.92	0.883
Tursiops truncatus	Artiodactyla	0.999	0.909	0.998	0.977	0.932	0.887
Vicugna pacos	Artiodactyla	0.999	0.916	0.999	0.972	0.941	0.883
Accipiter gentilis	Aves	0.993	0.848	0.992	0.678	0.9	0.848
Anas platyrhynchos	Aves	0.992	0.834	0.991	0.63	0.934	0.84
Antrostomus carolinensis	Aves	0.995	0.858	0.992	0.62	0.904	0.858
Aptenodytes forsteri	Aves	0.995	0.84	0.995	0.641	0.922	0.856
Apteryx mantelli	Aves	0.996	0.833	0.994	0.377	0.903	0.857
Apteryx rowi	Aves	0.996	0.833	0.994	0.377	0.903	0.857
Aquila chrysaetos	Aves	0.993	0.845	0.992	0.677	0.9	0.847
Asarcornis scutulata	Aves	0.993	0.83	0.992	0.598	0.929	0.842
Aythya fuligula	Aves	0.994	0.832	0.992	0.603	0.928	0.841
Balearica regulorum	Aves	0.993	0.839	0.988	0.575	0.914	0.851
Buteo japonicus	Aves	0.994	0.857	0.995	0.65	0.903	0.851
Cairina moschata	Aves	0.991	0.83	0.993	0.6	0.93	0.84
Calidris pugnax	Aves	0.996	0.856	0.996	0.707	0.92	0.865
Caprimulgus carolinensis	Aves	0.995	0.858	0.992	0.62	0.904	0.858
Cariama cristata	Aves	0.995	0.853	0.997	0.67	0.91	0.85
Casuarius casuarius	Aves	0.992	0.845	0.992	0.323	0.897	0.864
Charadrius vociferus	Aves	0.997	0.872	0.997	0.809	0.919	0.868
Chauna torquata	Aves	0.757	0.875	0.005	0.557	0.982	0.771
Colius striatus	Aves	0.998	0.85	0.995	0.58	0.896	0.855
Corythaeola cristata	Aves	0.996	0.844	0.998	0.679	0.911	0.852
Dromaius novaehollandiae	Aves	0.994	0.86	0.995	0.655	0.904	0.866
Egretta garzetta	Aves	0.996	0.847	0.995	0.653	0.914	0.857
Eurypyga helias	Aves	0.995	0.845	0.995	0.467	0.904	0.856
Falco biarmicus	Aves	0.993	0.84	0.992	0.536	0.911	0.849
Falco cherrug	Aves	0.993	0.84	0.992	0.536	0.911	0.849
Falco naumanni	Aves	0.992	0.838	0.992	0.529	0.911	0.849
Falco peregrinus	Aves	0.993	0.846	0.991	0.564	0.911	0.848
Falco rusticolus	Aves	0.993	0.84	0.992	0.536	0.911	0.849
Falco tinnunculus	Aves	0.993	0.841	0.993	0.529	0.91	0.85
Gavia stellata	Aves	0.994	0.848	0.993	0.632	0.907	0.853
Gymnogyps californianus	Aves	0.994	0.851	0.994	0.691	0.91	0.854
Haliaeetus albicilla	Aves	0.994	0.848	0.993	0.716	0.904	0.848
Haliaeetus leucocephalus	Aves	0.994	0.848	0.993	0.716	0.904	0.848
Harpia harpyja	Aves	0.994	0.851	0.992	0.691	0.901	0.845
Heteronetta atricapilla	Aves	0.99	0.835	0.992	0.605	0.922	0.848
Leptosomus discolor	Aves	0.995	0.847	0.995	0.627	0.917	0.849
Mesitornis unicolor	Aves	0.994	0.843	0.996	0.474	0.898	0.846
Nettapus auritus	Aves	0.995	0.84	0.992	0.663	0.93	0.849
Nipponia nippon	Aves	0.994	0.846	0.994	0.524	0.905	0.847
Nothoprocta perdicaria	Aves	0.996	0.866	0.99	0.878	0.908	0.86
Opisthocomus hoazin	Aves	0.996	0.862	0.995	0.77	0.913	0.852
Pelecanus crispus	Aves	0.993	0.845	0.996	0.596	0.927	0.848
Phaethon lepturus	Aves	0.995	0.853	0.993	0.684	0.909	0.85
Phalacrocorax carbo	Aves	0.994	0.838	0.992	0.614	0.914	0.85
Pterocles gutturalis	Aves	0.995	0.857	0.993	0.608	0.902	0.858
Pygoscelis adeliae	Aves	0.995	0.849	0.995	0.723	0.925	0.858
Rhynochetos jubatus	Aves	0.992	0.833	0.995	0.485	0.919	0.851
Rissa tridactyla	Aves	0.993	0.851	0.992	0.793	0.929	0.861
Spheniscus demersus	Aves	0.992	0.84	0.995	0.673	0.925	0.852
Stictonetta naevosa	Aves	0.995	0.84	0.995	0.672	0.928	0.839
Struthio camelus	Aves	0.99	0.847	0.993	0.328	0.891	0.853
Tauraco erythrolophus	Aves	0.995	0.835	0.997	0.688	0.925	0.853
Tinamus guttatus	Aves	0.995	0.862	0.991	0.631	0.901	0.851
Acinonyx jubatus	Carnivora	1	0.898	0.998	0.986	0.94	0.881
Ailuropoda melanoleuca	Carnivora	1	0.911	0.999	0.978	0.947	0.889
Callorhinus ursinus	Carnivora	1	0.92	0.999	0.989	0.945	0.886
Canis lupus	Carnivora	0.999	0.903	0.999	0.979	0.952	0.886
Enhydra lutris	Carnivora	1	0.904	0.999	0.985	0.947	0.882
Eumetopias jubatus	Carnivora	0.999	0.907	0.999	0.985	0.938	0.883
Felis catus	Carnivora	1	0.899	0.998	0.985	0.939	0.881
Halichoerus grypus	Carnivora	1	0.921	1	0.993	0.943	0.893
Hyaena hyaena	Carnivora	1	0.912	1	1	0.973	0.889
Leopardus geoffroyi	Carnivora	1	0.916	0.999	0.999	0.964	0.901
Leptonychotes weddellii	Carnivora	0.999	0.912	0.999	0.992	0.945	0.884
Lontra canadensis	Carnivora	1	0.927	0.999	0.997	0.959	0.902
Lutra lutra	Carnivora	0.999	0.904	0.999	0.966	0.935	0.88
Lynx canadensis	Carnivora	1	0.904	0.998	0.986	0.935	0.883
Lynx rufus	Carnivora	1	0.9	0.998	0.986	0.938	0.882
Meles meles	Carnivora	0.999	0.902	0.998	0.972	0.94	0.876
Mirounga angustirostris	Carnivora	0.999	0.916	0.999	0.98	0.937	0.881
Mirounga leonina	Carnivora	0.999	0.916	0.999	0.98	0.937	0.881
Mustela erminea	Carnivora	0.999	0.901	0.998	0.959	0.932	0.881
Mustela putorius	Carnivora	0.999	0.896	0.998	0.961	0.935	0.879
Neofelis nebulosa	Carnivora	1	0.899	0.998	0.987	0.939	0.883
Neogale vison	Carnivora	0.999	0.911	0.998	0.982	0.934	0.883
Neomonachus schauinslandi	Carnivora	0.999	0.906	0.999	0.979	0.939	0.882
Nyctereutes procyonoides	Carnivora	0.999	0.904	0.999	0.979	0.948	0.885
Odobenus rosmarus	Carnivora	0.999	0.909	0.999	0.984	0.939	0.882
Panthera leo	Carnivora	1	0.901	0.998	0.986	0.939	0.882
Panthera pardus	Carnivora	1	0.901	0.998	0.986	0.939	0.882
Panthera tigris	Carnivora	1	0.901	0.998	0.986	0.939	0.882
Panthera uncia	Carnivora	1	0.901	0.998	0.986	0.939	0.882
Phoca vitulina	Carnivora	1	0.922	1	0.993	0.944	0.892
Prionailurus bengalensis	Carnivora	1	0.902	0.998	0.987	0.936	0.883
Prionailurus viverrinus	Carnivora	1	0.898	0.998	0.986	0.94	0.881
Puma concolor	Carnivora	1	0.897	0.998	0.986	0.941	0.881
Puma yagouaroundi	Carnivora	1	0.898	0.998	0.986	0.94	0.881
Suricata suricatta	Carnivora	1	0.912	0.998	0.98	0.926	0.879
Ursus americanus	Carnivora	1	0.915	0.998	0.985	0.952	0.89
Ursus arctos	Carnivora	1	0.915	0.998	0.985	0.952	0.89
Ursus maritimus	Carnivora	1	0.915	0.998	0.985	0.952	0.89
Ursus thibetanus	Carnivora	1	0.916	0.998	0.984	0.952	0.891
Vulpes lagopus	Carnivora	0.999	0.904	0.999	0.98	0.951	0.885
Vulpes vulpes	Carnivora	1	0.914	0.999	1	0.973	0.894
Zalophus californianus	Carnivora	0.999	0.907	0.999	0.985	0.938	0.883
Aeorestes cinereus	Chiroptera	0.999	0.905	0.999	0.973	0.931	0.876
Artibeus jamaicensis	Chiroptera	1	0.917	0.997	1	0.967	0.879
