Gene	species	ident
CXCR6	Accipiter_gentilis	88.5
CXCR6	Anas_platyrhynchos	100.0
CXCR6	Anolis_carolinensis	62.5
CXCR6	Anseranas_semipalmata	92.6
CXCR6	Anser_brachyrhynchus	95.5
CXCR6	Anser_cygnoides	95.6
CXCR6	Anser_indicus	95.6
CXCR6	Antrostomus_carolinensis	88.0
CXCR6	Aptenodytes_forsteri	88.1
CXCR6	Apteryx_mantelli	86.2
CXCR6	Apteryx_rowi	86.2
CXCR6	Aquila_chrysaetos	88.3
CXCR6	Asarcornis_scutulata	98.5
CXCR6	Athene_cunicularia	87.0
CXCR6	Aythya_fuligula	98.5
CXCR6	Balearica_regulorum	85.7
CXCR6	Branta_canadensis	95.4
CXCR6	Buteo_japonicus	88.2
CXCR6	Cairina_moschata	98.0
CXCR6	Calidris_pugnax	86.7
CXCR6	Caprimulgus_carolinensis	88.0
CXCR6	Cariama_cristata	88.2
CXCR6	Casuarius_casuarius	86.2
CXCR6	Charadrius_vociferus	87.8
CXCR6	Chauna_torquata	90.5
CXCR6	Chelonia_mydas	72.9
CXCR6	Chrysemys_picta	73.3
CXCR6	Colius_striatus	83.5
CXCR6	Corythaeola_cristata	87.4
CXCR6	Cygnus_atratus	95.5
CXCR6	Cygnus_olor	95.6
CXCR6	Dromaius_novaehollandiae	86.4
CXCR6	Egretta_garzetta	87.3
CXCR6	Eurypyga_helias	86.1
CXCR6	Falco_biarmicus	88.0
CXCR6	Falco_cherrug	88.1
CXCR6	Falco_naumanni	87.9
CXCR6	Falco_peregrinus	87.9
CXCR6	Falco_rusticolus	88.1
CXCR6	Falco_tinnunculus	88.0
CXCR6	Fulmarus_glacialis	87.7
CXCR6	Gavia_stellata	88.1
CXCR6	Grus_americana	87.1
CXCR6	Gymnogyps_californianus	89.0
CXCR6	Haliaeetus_albicilla	88.6
CXCR6	Haliaeetus_leucocephalus	88.6
CXCR6	Harpia_harpyja	88.8
CXCR6	Heteronetta_atricapilla	95.5
CXCR6	Homo_sapiens	58.9
CXCR6	Leptosomus_discolor	87.7
CXCR6	Mesitornis_unicolor	85.8
CXCR6	Nettapus_auritus	94.1
CXCR6	Nipponia_nippon	87.8
CXCR6	Nothoprocta_perdicaria	83.7
CXCR6	Opisthocomus_hoazin	88.2
CXCR6	Oxyura_jamaicensis	95.8
CXCR6	Pelecanus_crispus	87.2
CXCR6	Phaethon_lepturus	87.6
CXCR6	Phalacrocorax_carbo	87.6
CXCR6	Pterocles_gutturalis	88.1
CXCR6	Pygoscelis_adeliae	88.0
CXCR6	Rhea_americana	85.6
CXCR6	Rhynochetos_jubatus	85.4
CXCR6	Rissa_tridactyla	88.2
CXCR6	Spheniscus_demersus	88.0
CXCR6	Stictonetta_naevosa	95.6
CXCR6	Struthio_camelus	86.2
CXCR6	Tauraco_erythrolophus	87.0
CXCR6	Tinamus_guttatus	84.9
CXCR6	Tyto_alba	88.4
CXCR6	Xenopus_tropicalis	56.1
