scientific_name	common_name	genomic_range	location	transcript_accession	transcript_length	transcript_cds_coords	protein_accession	protein_length
Equus caballus	horse	NC_009154.3:47591040-47660437	chr 11	XM_014727998.2	3721	XM_014727998.2:110-3517	XP_014583484.1	1135
Equus caballus	horse	NC_009154.3:47591040-47660437	chr 11	XM_005597664.3	3807	XM_005597664.3:100-3603	XP_005597721.1	1167
Ornithorhynchus anatinus	platypus	NC_041744.1:7123135-7164814	chr 17	XM_039914535.1	4191	XM_039914535.1:78-4040	XP_039770469.1	1320
Bos taurus	cattle	NC_037346.1:24389249-24452893	chr 19	XM_002695790.7	7118	XM_002695790.7:313-3828	XP_002695836.2	1171
Bos taurus	cattle	NC_037346.1:24389249-24452893	chr 19	NM_001425068.1	6831	NM_001425068.1:26-3541	NP_001411997.1	1171
Oryctolagus cuniculus	rabbit	NC_067392.1:12296094-12357700	chr 19	XR_001795252.2	7640			
Oryctolagus cuniculus	rabbit	NC_067392.1:12296094-12357700	chr 19	XR_007911457.1	7544			
Oryctolagus cuniculus	rabbit	NC_067392.1:12296094-12357700	chr 19	XM_008270877.3	7618	XM_008270877.3:3812-7309	XP_008269099.1	1165
Oryctolagus cuniculus	rabbit	NC_067392.1:12296094-12357700	chr 19	XM_008270879.3	7507	XM_008270879.3:3812-7198	XP_008269101.1	1128
Oryctolagus cuniculus	rabbit	NC_067392.1:12296094-12357700	chr 19	XM_017348969.2	7522	XM_017348969.2:3812-7213	XP_017204458.1	1133
Oryctolagus cuniculus	rabbit	NC_067392.1:12296094-12357700	chr 19	XM_051825355.1	7522	XM_051825355.1:3812-7213	XP_051681315.1	1133
Oryctolagus cuniculus	rabbit	NC_067392.1:12296094-12357700	chr 19	XM_051825358.1	7411	XM_051825358.1:3812-7102	XP_051681318.1	1096
Oryctolagus cuniculus	rabbit	NC_067392.1:12296094-12357700	chr 19	XM_051825357.1	7426	XM_051825357.1:3812-7117	XP_051681317.1	1101
Oryctolagus cuniculus	rabbit	NC_067392.1:12296094-12357700	chr 19	XM_017348965.2	7615	XM_017348965.2:3812-7306	XP_017204454.1	1164
Oryctolagus cuniculus	rabbit	NC_067392.1:12296094-12357700	chr 19	XM_051825356.1	7471	XM_051825356.1:3812-7162	XP_051681316.1	1116
Pongo abelii	Sumatran orangutan	NC_072004.2:3513900-3598351	chr 19	XM_063717955.1	4529	XM_063717955.1:920-4312	XP_063574025.1	1130
Pongo abelii	Sumatran orangutan	NC_072004.2:3513900-3598351	chr 19	XM_063717954.1	3725	XM_063717954.1:41-3508	XP_063574024.1	1155
Pongo abelii	Sumatran orangutan	NC_072004.2:3513900-3598351	chr 19	XM_024235430.3	3803	XM_024235430.3:41-3586	XP_024091198.3	1181
Ailuropoda melanoleuca	giant panda	NC_048230.1:146789-216152	chr 13	XM_034640842.1	3230	XM_034640842.1:223-3048	XP_034496733.1	941
Sus scrofa	pig	NC_010454.4:49810050-49878142	chr 12	XM_021067683.1	4363	XM_021067683.1:251-4105	XP_020923342.1	1284
Nomascus leucogenys	northern white-cheeked gibbon	NC_044399.1:74028780-74107065	chr 19	XM_030799959.1	3851	XM_030799959.1:94-3633	XP_030655819.1	1179
Loxodonta africana	African savanna elephant	NC_087359.1:65986001-66054619	chr 18	XM_064271575.1	3818	XM_064271575.1:100-3636	XP_064127645.1	1178
Loxodonta africana	African savanna elephant	NC_087359.1:65986001-66054619	chr 18	XM_064271574.1	3822	XM_064271574.1:98-3640	XP_064127644.1	1180
Loxodonta africana	African savanna elephant	NC_087359.1:65986001-66054619	chr 18	XM_064271577.1	3264	XM_064271577.1:212-3082	XP_064127647.1	956
Loxodonta africana	African savanna elephant	NC_087359.1:65986001-66054619	chr 18	XM_064271576.1	3255	XM_064271576.1:182-3073	XP_064127646.1	963
Cavia porcellus	domestic guinea pig	NW_026947489.1:74601178-74658388	chr Un	XM_063251018.1	4424	XM_063251018.1:1033-4113	XP_063107088.1	1026
Cavia porcellus	domestic guinea pig	NW_026947489.1:74601178-74658388	chr Un	XM_013152276.3	3855	XM_013152276.3:158-3652	XP_013007730.1	1164
Cricetulus griseus	Chinese hamster	NW_003614665.1:446285-492825;NC_048600.1:86870098-86915719	chr 7	XM_035460304.1	3661	XM_035460304.1:1-3474	XP_035316195.1	1157
Cricetulus griseus	Chinese hamster	NW_003614665.1:446285-492825;NC_048600.1:86870098-86915719	chr 7	XM_035448129.1	3667	XM_035448129.1:1-3480	XP_035304020.1	1159
Otolemur garnettii	small-eared galago	NW_003852540.1:2083547-2157413	chr Un	XM_023518703.1	3605	XM_023518703.1:1-3408	XP_023374471.1	1135
Pan paniscus	pygmy chimpanzee	NC_073268.2:11325204-11410344	chr 19	XM_055101598.2	3822	XM_055101598.2:1-3603	XP_054957573.2	1200
Papio anubis	olive baboon	NC_044992.1:3357745-3439857	chr 17	XM_021928547.2	3930	XM_021928547.2:109-3708	XP_021784239.2	1199
Saimiri boliviensis	Bolivian squirrel monkey	NW_024100930.1:22556862-22643921	chr Un	XM_039476235.1	4230	XM_039476235.1:1-4023	XP_039332169.1	1340
Ovis aries	sheep	NC_056064.1:24270449-24332163	chr 11	XM_060395331.1	5093	XM_060395331.1:33-3437	XP_060251314.1	1134
Ovis aries	sheep	NC_056064.1:24270449-24332163	chr 11	XM_004013265.6	5204	XM_004013265.6:33-3548	XP_004013314.3	1171
Ovis aries	sheep	NC_056064.1:24270449-24332163	chr 11	XM_042255526.2	5231	XM_042255526.2:12-3575	XP_042111460.2	1187
Orcinus orca	killer whale	NC_064577.1:9047786-9121667	chr 19	XM_012532043.3	9189	XM_012532043.3:91-3615	XP_012387497.2	1174
Tursiops truncatus	common bottlenose dolphin	NC_047053.1:11610828-11679373	chr 20	XM_033847972.1	3809	XM_033847972.1:59-3580	XP_033703863.1	1173
Trichechus manatus latirostris	Florida manatee	NW_004443976.1:15995304-16039135	chr Un	XM_023730999.1	5466	XM_023730999.1:1-4578	XP_023586767.1	1525
Odobenus rosmarus divergens	Pacific walrus	NW_004451366.1:254925-300711	chr Un	XM_012567940.1	3522	XM_012567940.1:1-3522	XP_012423394.1	1173
Ceratotherium simum simum	southern white rhinoceros	NW_004454199.1:14121173-14182319	chr Un	XM_014789664.1	3685	XM_014789664.1:81-3482	XP_014645150.1	1133
Ceratotherium simum simum	southern white rhinoceros	NW_004454199.1:14121173-14182319	chr Un	XM_004433437.2	3779	XM_004433437.2:79-3576	XP_004433494.1	1165
Dasypus novemcinctus	nine-banded armadillo	NC_080693.1:28868021-28957921	chr 21	XM_058283749.1	12982	XM_058283749.1:782-4324	XP_058139732.1	1180
Ochotona princeps	American pika	NC_080848.1:39902415-39953838	chr 17	XM_058676456.1	4796	XM_058676456.1:147-4796	XP_058532439.1	1549
Sorex araneus	European shrew	NC_073304.1:189942820-190019964	chr 3	XM_055132213.1	3786	XM_055132213.1:1-3621	XP_054988188.1	1206
Octodon degus	degu	NW_004524674.1:412972-467495	chr Un	XM_023723409.1	3817	XM_023723409.1:1-3429	XP_023579177.1	1142
Jaculus jaculus	lesser Egyptian jerboa	NC_059110.1:77496539-77566432	chr 9	XM_012952196.2	3716	XM_012952196.2:1-3495	XP_012807650.2	1164
Condylura cristata	star-nosed mole	NW_004567118.1:31950006-32005170	chr Un	XM_012726094.1	3447	XM_012726094.1:1-3447	XP_012581548.1	1148
Echinops telfairi	small Madagascar hedgehog	NW_022105908.1:24476013-24536852	chr Un	XM_045293337.1	3713	XM_045293337.1:1-3510	XP_045149272.1	1169
Mustela putorius furo	domestic ferret	NW_025421501.1:3716857-3781700	chr Un	XR_006608246.1	5731			
Mustela putorius furo	domestic ferret	NW_025421501.1:3716857-3781700	chr Un	XM_004781946.3	5223	XM_004781946.3:1514-5017	XP_004782003.1	1167
Heterocephalus glaber	naked mole-rat	NW_004624786.1:6354344-6425240	chr Un	XM_021238132.1	3673	XM_021238132.1:57-3401	XP_021093791.1	1114
