gene_id	gene_symbol	description	scientific_name	common_name	tax_id	genomic_range	orientation	location	gene_type	transcript_accession	transcript_name	transcript_length	transcript_cds_coords	protein_accession	isoform_name	protein_length	protein_name
100072673	ITGAE	integrin subunit alpha E	Equus caballus	horse	9796	NC_009154.3:47591040-47660437	-	chr 11	PROTEIN_CODING	XR_002811660.1	transcript variant X4	9101					
100072673	ITGAE	integrin subunit alpha E	Equus caballus	horse	9796	NC_009154.3:47591040-47660437	-	chr 11	PROTEIN_CODING	XR_001377446.2	transcript variant X2	8945					
100072673	ITGAE	integrin subunit alpha E	Equus caballus	horse	9796	NC_009154.3:47591040-47660437	-	chr 11	PROTEIN_CODING	XM_014727998.2	transcript variant X3	3721	XM_014727998.2:110-3517	XP_014583484.1	isoform X2	1135	integrin alpha-E
100072673	ITGAE	integrin subunit alpha E	Equus caballus	horse	9796	NC_009154.3:47591040-47660437	-	chr 11	PROTEIN_CODING	XM_005597664.3	transcript variant X1	3807	XM_005597664.3:100-3603	XP_005597721.1	isoform X1	1167	integrin alpha-E
100077899	ITGAE	integrin subunit alpha E	Ornithorhynchus anatinus	platypus	9258	NC_041744.1:7123135-7164814	-	chr 17	PROTEIN_CODING	XM_039914535.1		4191	XM_039914535.1:78-4040	XP_039770469.1		1320	LOW QUALITY PROTEIN: integrin alpha-E
100140050	ITGAE	integrin subunit alpha E	Bos taurus	cattle	9913	NC_037346.1:24389249-24452893	-	chr 19	PROTEIN_CODING	XM_002695790.7		7118	XM_002695790.7:313-3828	XP_002695836.2		1171	integrin alpha-E
100140050	ITGAE	integrin subunit alpha E	Bos taurus	cattle	9913	NC_037346.1:24389249-24452893	-	chr 19	PROTEIN_CODING	NM_001425068.1		6831	NM_001425068.1:26-3541	NP_001411997.1		1171	integrin alpha-E precursor
100355227	ITGAE	integrin subunit alpha E	Oryctolagus cuniculus	rabbit	9986	NC_067392.1:12296094-12357700	+	chr 19	PROTEIN_CODING	XR_001795252.2	transcript variant X7	7640					
100355227	ITGAE	integrin subunit alpha E	Oryctolagus cuniculus	rabbit	9986	NC_067392.1:12296094-12357700	+	chr 19	PROTEIN_CODING	XR_007911457.1	transcript variant X10	7544					
100355227	ITGAE	integrin subunit alpha E	Oryctolagus cuniculus	rabbit	9986	NC_067392.1:12296094-12357700	+	chr 19	PROTEIN_CODING	XM_008270877.3	transcript variant X1	7618	XM_008270877.3:3812-7309	XP_008269099.1	isoform X1	1165	integrin alpha-E
