Gene_description	GC_content	GC_Stretch
ENSGALG00010004494|WTAP|1242	47.42	3.54545454545455
ENSGALG00010029322|BPTF|8997	43.13	3.44755244755245
ENSGALG00010025671||1221	67.90	4.421875
ENSGALG00010013099|SIM2|2304	44.40	3.60215053763441
ENSGALG00010014056|FMO3|1959	55.79	3.968
ENSGALG00010019592|ALKBH3|846	52.13	3.43636363636364
ENSGALG00010024083|PALMD|1647	42.20	3.43478260869565
ENSGALG00010014889|PVALB|405	44.94	3.57894736842105
ENSGALG00010009286||1032	68.12	4.94949494949495
ENSGALG00010025652|KMT5B|2430	40.08	3.28571428571429
ENSGALG00010019962|SNX8|1323	47.62	3.63157894736842
ENSGALG00010016418|NFIB|1374	47.09	3.50819672131148
ENSGALG00010018410|EXOC6B|2283	48.84	3.84848484848485
ENSGALG00010009012|DEUP1|1932	39.18	3.42857142857143
ENSGALG00010018186|SPTLC3|1527	43.55	3.38095238095238
ENSGALG00010019865||1143	62.20	5.5
ENSGALG00010010336|FMNL2|1296	50.31	4.08474576271186
ENSGALG00010017248|TECPR2|4170	44.34	3.39864864864865
ENSGALG00010006269||2409	44.96	3.53
ENSGALG00010025154|TMEM183A|1227	52.57	4.08823529411765
ENSGALG00010012094||3108	47.65	3.59375
ENSGALG00010018315|CLASP2|3954	45.09	3.49006622516556
ENSGALG00010013123|PPFIBP1|3054	46.76	3.58677685950413
ENSGALG00010009306|TBC1D9|3783	45.10	3.49645390070922
ENSGALG00010015865|VRK1|1356	44.62	4.15384615384615
ENSGALG00010016266|PDLIM4|930	59.57	4.01333333333333
ENSGALG00010026801|FMOD|1143	56.26	4.04109589041096
ENSGALG00010028003||4308	46.84	3.72131147540984
ENSGALG00010002311||990	59.49	4.1264367816092
ENSGALG00010001204|SNX2|1458	44.51	3.6875
ENSGALG00010026078|UBE2E3|720	53.75	5.6
ENSGALG00010020393|SHISA9|1176	51.11	3.72602739726027
ENSGALG00010027149|C1orf116|1569	61.89	4.4051724137931
ENSGALG00010020712|ZC3H7A|2916	40.05	3.33734939759036
ENSGALG00010000585|SPTBN2|6891	68.05	4.90909090909091
ENSGALG00010023472|PTPN6|1815	48.43	3.53488372093023
ENSGALG00010027443|MED16|2385	55.35	3.72903225806452
ENSGALG00010013368||1266	61.53	4.12
ENSGALG00010021481|MICU1|675	51.26	4.04878048780488
ENSGALG00010025738|SOX13|1839	61.61	4.08108108108108
ENSGALG00010009065|EIF2B4|1653	62.86	4.784
ENSGALG00010003115|UBE3D|1164	50.26	4.48214285714286
ENSGALG00010008039|CHMP1A|942	59.13	4.52380952380952
ENSGALG00010015285|ALG13|813	45.26	3.33333333333333
ENSGALG00010023214|SUPV3L1|2385	47.80	3.98095238095238
ENSGALG00010003795|LCP1|1872	47.12	3.50561797752809
ENSGALG00010023693|SRSF11|1278	45.46	3.52173913043478
ENSGALG00010006735|NR3C2|2961	49.88	3.85135135135135
ENSGALG00010005593||1164	58.59	4
ENSGALG00010009152|RPP25L|612	48.53	3.33333333333333
ENSGALG00010027375|CFTII|1044	59.10	4.44117647058824
ENSGALG00010011096|LDB2|918	46.51	3.42424242424242
ENSGALG00010022928|RNF111|2865	48.13	3.53846153846154
ENSGALG00010014162|COL18A1|3651	64.26	4.50949367088608
ENSGALG00010003506|DYNC1I1|1800	47.78	3.51282051282051
ENSGALG00010001511||471	58.81	3.77142857142857
ENSGALG00010020750|AIFM2|1122	52.23	3.72881355932203
ENSGALG00010007123||903	59.91	4.08219178082192
ENSGALG00010020973|GNB5|684	52.49	3.67567567567568
ENSGALG00010028189|GPSM1|1965	55.83	3.76119402985075
ENSGALG00010018895|SEPTIN7|1545	45.63	4.34920634920635
ENSGALG00010024165|LEPR|3288	45.95	3.35036496350365
ENSGALG00010023840|SMAGP|321	59.50	4.85714285714286
ENSGALG00010005499|PDE5A|2604	41.78	3.27631578947368
ENSGALG00010010890|NOL12|885	55.14	4.42857142857143
ENSGALG00010017289|ADGRB2|4440	64.17	4.37142857142857
ENSGALG00010018344|SFXN5|1074	55.12	4.48571428571429
ENSGALG00010015145|CLIC2|699	56.94	4.02325581395349
ENSGALG00010011493||648	46.91	3.35
ENSGALG00010006953|MAP1LC3B|426	52.35	3.57142857142857
ENSGALG00010025794||324	65.74	4.09375
ENSGALG00010003205||4158	63.76	4.40922190201729
ENSGALG00010017702|ECEL1|2199	58.80	4.13245033112583
ENSGALG00010002633||1788	62.64	4.15469613259669
ENSGALG00010007441|STRN|2268	43.43	3.4578313253012
ENSGALG00010025243|PAXIP1|3264	44.64	3.3394495412844
ENSGALG00010029177|ASPSCR1|1437	48.85	3.46153846153846
ENSGALG00010028658|PTPA|1023	51.12	3.59649122807018
ENSGALG00010019966||2019	60.23	4.21461187214612
ENSGALG00010022203|DNAAF5|834	44.84	3.54545454545455
ENSGALG00010001480|JAKMIP3|2406	51.41	3.98095238095238
ENSGALG00010024815|GBX1|981	72.07	5.58947368421053
ENSGALG00010015776|SPOCK1|1533	52.64	4.09302325581395
