Gene ID,Gene symbol,Description,Scientific name,Common name,RefSeq Transcript accessions,RefSeq Protein accessions,SPARCLE ID,Curation Status,RefseqSelect,Default sequence
103094355,CXCL16,C-X-C motif chemokine ligand 16,Monodelphis domestica,gray short-tailed opossum,XM_016430848.2,XP_016286334.1,,model,,default-seq
103167037,CXCL16,C-X-C motif chemokine ligand 16,Ornithorhynchus anatinus,platypus,XM_029055381.2,XP_028911214.1,,model,,default-seq
105750636,CXCL16,C-X-C motif chemokine ligand 16,Sarcophilus harrisii,Tasmanian devil,XM_031965390.1,XP_031821250.1,,model,,default-seq
110194260,CXCL16,C-X-C motif chemokine ligand 16,Phascolarctos cinereus,koala,XM_020966456.1,XP_020822115.1,,model,,default-seq
114039411,CXCL16,C-X-C motif chemokine ligand 16,Vombatus ursinus,common wombat,XM_027857157.1,XP_027712958.1,,model,,default-seq
118856031,CXCL16,C-X-C motif chemokine ligand 16,Trichosurus vulpecula,common brushtail,XM_036766086.1,XP_036621981.1,,model,,default-seq
119947120,CXCL16,C-X-C motif chemokine ligand 16,Tachyglossus aculeatus,Australian echidna,XM_038768663.1,XP_038624591.1,,model,,default-seq
122754906,CXCL16,C-X-C motif chemokine ligand 16,Dromiciops gliroides,monito del monte,XM_044003341.1,XP_043859276.1,,model,,default-seq
123244612,CXCL16,C-X-C motif chemokine ligand 16,Gracilinanus agilis,Agile Gracile Mouse Opossum,XM_044673138.1,XP_044529073.1,,model,,default-seq
127560927,CXCL16,C-X-C motif chemokine ligand 16,Antechinus flavipes,yellow-footed antechinus,XM_051995903.1,XP_051851863.1,,model,,default-seq
