Gene ID,Gene symbol,Description,Scientific name,Common name,RefSeq Transcript accessions,RefSeq Protein accessions,SPARCLE ID,Curation Status,RefseqSelect,Default sequence
396735,CXCL16,C-X-C motif chemokine ligand 16,Sus scrofa,pig,XM_013981276.2,XP_013836730.1,,model,,default-seq
511671,CXCL16,C-X-C motif chemokine ligand 16,Bos taurus,cattle,NM_001046095.2,NP_001039560.1,,curated,,default-seq
101111722,CXCL16,C-X-C motif chemokine ligand 16,Ovis aries,sheep,XM_015098600.3,XP_014954086.1,,model,,default-seq
101281807,CXCL16,C-X-C motif chemokine ligand 16,Orcinus orca,killer whale,XM_004267225.4,XP_004267273.1,,model,,default-seq
101338307,CXCL16,C-X-C motif chemokine ligand 16,Tursiops truncatus,common bottlenose dolphin,XM_004324627.3,XP_004324675.2,,model,,default-seq
102178301,CXCL16,C-X-C motif chemokine ligand 16,Capra hircus,goat,XM_018064531.1,XP_017920020.1,,model,,default-seq
102286899,CXCL16,C-X-C motif chemokine ligand 16,Bos mutus,wild yak,XM_005906047.2,XP_005906109.1,,model,,default-seq
102394558,CXCL16,C-X-C motif chemokine ligand 16,Bubalus bubalis,water buffalo,XM_006060097.4,XP_006060159.4,,model,,default-seq
102523489,CXCL16,C-X-C motif chemokine ligand 16,Camelus ferus,Wild Bactrian camel,XM_014555600.2,XP_014411086.2,,model,,default-seq
102545010,CXCL16,C-X-C motif chemokine ligand 16,Vicugna pacos,alpaca,XM_006217599.3,XP_006217661.1,,model,,default-seq
103006707,CXCL16,C-X-C motif chemokine ligand 16,Balaenoptera acutorostrata,minke whale,XM_007166490.3,XP_007166552.1,,model,,default-seq
103071943,CXCL16,C-X-C motif chemokine ligand 16,Lipotes vexillifer,Yangtze River dolphin,XM_007457718.1,XP_007457780.1,,model,,default-seq
104993955,CXCL16,C-X-C motif chemokine ligand 16,Bison bison bison,,XM_010847386.1,XP_010845688.1,,model,,default-seq
105066399,CXCL16,C-X-C motif chemokine ligand 16,Camelus bactrianus,Bactrian camel,XM_010951722.2,XP_010950024.1,,model,,default-seq
105101479,CXCL16,C-X-C motif chemokine ligand 16,Camelus dromedarius,Arabian camel,XM_010994681.2,XP_010992983.2,,model,,default-seq
109573822,CXCL16,C-X-C motif chemokine ligand 16,Bos indicus,zebu cattle,XM_019981296.1,XP_019836855.1,,model,,default-seq
110150139,CXCL16,C-X-C motif chemokine ligand 16,Odocoileus virginianus,white-tailed deer,XM_020912989.1,XP_020768648.1,,model,,default-seq
111185959,CXCL16,C-X-C motif chemokine ligand 16,Delphinapterus leucas,beluga whale,XM_022596117.2,XP_022451825.1,,model,,default-seq
112393539,CXCL16,C-X-C motif chemokine ligand 16,Neophocaena asiaeorientalis asiaeorientalis,Yangtze finless porpoise,XM_024735830.1,XP_024591598.1,,model,,default-seq
113632718,CXCL16,C-X-C motif chemokine ligand 16,Lagenorhynchus obliquidens,Pacific white-sided dolphin,XM_027130240.1,XP_026986041.1,,model,,default-seq
113877704,CXCL16,C-X-C motif chemokine ligand 16,Bos indicus x Bos taurus,hybrid cattle,XM_027518093.1,XP_027373894.1,,model,,default-seq
114888760,CXCL16,C-X-C motif chemokine ligand 16,Monodon monoceros,narwhal,XM_029211198.1,XP_029067031.1,,model,,default-seq
