Gene ID,Gene symbol,Description,Scientific name,Common name,RefSeq Transcript accessions,RefSeq Protein accessions,SPARCLE ID,Curation Status,RefseqSelect,Default sequence
58191,CXCL16,C-X-C motif chemokine ligand 16,Homo sapiens,human,NM_001386809.1,NP_001373738.1,,curated,RefseqSelect,default-seq
454451,CXCL16,C-X-C motif chemokine ligand 16,Pan troglodytes,chimpanzee,XM_009431659.3,XP_009429934.1,,model,,default-seq
721566,CXCL16,C-X-C motif chemokine ligand 16,Macaca mulatta,Rhesus monkey,XM_001117747.4,XP_001117747.2,,model,,default-seq
100408151,CXCL16,C-X-C motif chemokine ligand 16,Callithrix jacchus,white-tufted-ear marmoset,XM_008997231.4,XP_008995479.2,,model,,default-seq
100432571,CXCL16,C-X-C motif chemokine ligand 16,Pongo abelii,Sumatran orangutan,XM_009251161.3,XP_009249436.2,,model,,default-seq
100589463,CXCL16,C-X-C motif chemokine ligand 16,Nomascus leucogenys,northern white-cheeked gibbon,XM_012501573.2,XP_012357027.2,,model,,default-seq
100988305,CXCL16,C-X-C motif chemokine ligand 16,Pan paniscus,pygmy chimpanzee,XM_003810203.4,XP_003810251.2,,model,,default-seq
101016756,CXCL16,C-X-C motif chemokine ligand 16,Papio anubis,olive baboon,XM_009189407.3,XP_009187671.2,,model,,default-seq
101029474,CXCL16,C-X-C motif chemokine ligand 16,Saimiri boliviensis,Bolivian squirrel monkey,XM_010342021.2,XP_010340323.1,,model,,default-seq
101132654,CXCL16,C-X-C motif chemokine ligand 16,Gorilla gorilla gorilla,western lowland gorilla,XM_019013307.3,XP_018868852.2,,model,,default-seq
102126701,CXCL16,C-X-C motif chemokine ligand 16,Macaca fascicularis,crab-eating macaque,XM_005582576.3,XP_005582633.2,,model,,default-seq
103242198,CXCL16,C-X-C motif chemokine ligand 16,Chlorocebus sabaeus,green monkey,XM_008009948.2,XP_008008139.2,,model,,default-seq
103276559,CXCL16,C-X-C motif chemokine ligand 16,Carlito syrichta,Philippine tarsier,XM_021706955.1,XP_021562630.1,,model,,default-seq
104663093,CXCL16,C-X-C motif chemokine ligand 16,Rhinopithecus roxellana,golden snub-nosed monkey,XM_010364232.2,XP_010362534.1,,model,,default-seq
105472286,CXCL16,C-X-C motif chemokine ligand 16,Macaca nemestrina,pig-tailed macaque,XM_011725393.2,XP_011723695.1,,model,,default-seq
105523525,CXCL16,C-X-C motif chemokine ligand 16,Colobus angolensis palliatus,,XM_011958351.1,XP_011813741.1,,model,,default-seq
105539961,CXCL16,C-X-C motif chemokine ligand 16,Mandrillus leucophaeus,drill,XM_011980431.1,XP_011835821.1,,model,,default-seq
105583537,CXCL16,C-X-C motif chemokine ligand 16,Cercocebus atys,sooty mangabey,XM_012055357.1,XP_011910747.1,,model,,default-seq
105715152,CXCL16,C-X-C motif chemokine ligand 16,Aotus nancymaae,Ma's night monkey,XM_012449421.2,XP_012304844.1,,model,,default-seq
105822883,CXCL16,C-X-C motif chemokine ligand 16,Propithecus coquereli,Coquerel's sifaka,XM_012659940.1,XP_012515394.1,,model,,default-seq
105879279,CXCL16,C-X-C motif chemokine ligand 16,Microcebus murinus,gray mouse lemur,XM_012779431.2,XP_012634885.1,,model,,default-seq
108281272,CXCL16,C-X-C motif chemokine ligand 16,Cebus imitator,Panamanian white-faced capuchin,XM_037727226.1,XP_037583154.1,,model,,default-seq
108524848,CXCL16,C-X-C motif chemokine ligand 16,Rhinopithecus bieti,black snub-nosed monkey,XM_017865955.1,XP_017721444.1,,model,,default-seq
111521302,CXCL16,C-X-C motif chemokine ligand 16,Piliocolobus tephrosceles,Ugandan red Colobus,XM_023184610.2,XP_023040378.1,,model,,default-seq
112609473,CXCL16,C-X-C motif chemokine ligand 16,Theropithecus gelada,gelada,XM_025362270.1,XP_025218055.1,,model,,default-seq
116459233,CXCL16,C-X-C motif chemokine ligand 16,Hylobates moloch,silvery gibbon,XM_032139545.2,XP_031995436.1,,model,,default-seq
116543360,CXCL16,C-X-C motif chemokine ligand 16,Sapajus apella,tufted capuchin,XM_032268859.1,XP_032124750.1,,model,,default-seq
117067877,CXCL16,C-X-C motif chemokine ligand 16,Trachypithecus francoisi,Francois's langur,XM_033185004.1,XP_033040895.1,,model,,default-seq
123621229,CXCL16,C-X-C motif chemokine ligand 16,Lemur catta,Ring-tailed lemur,XM_045527085.1,XP_045383041.1,,model,,default-seq
126939756,CXCL16,C-X-C motif chemokine ligand 16,Macaca thibetana thibetana,,XM_050765433.1,XP_050621390.1,,model,,default-seq
129018116,CXCL16,C-X-C motif chemokine ligand 16,Pongo pygmaeus,Bornean orangutan,XM_054459345.1,XP_054315320.1,,model,,default-seq
129470280,CXCL16,C-X-C motif chemokine ligand 16,Symphalangus syndactylus,siamang,XM_055257941.1,XP_055113916.1,,model,,default-seq
