Gene ID,Gene symbol,Description,Scientific name,Common name,RefSeq Transcript accessions,RefSeq Protein accessions,SPARCLE ID,Curation Status,RefseqSelect,Default sequence
102262866,CXCL16,C-X-C motif chemokine ligand 16,Myotis brandtii,Brandt's bat,XM_014530249.1,XP_014385735.1,,model,,default-seq
102420074,CXCL16,C-X-C motif chemokine ligand 16,Myotis lucifugus,little brown bat,XM_006102772.2,XP_006102834.2,,model,,default-seq
102761911,CXCL16,C-X-C motif chemokine ligand 16,Myotis davidii,,XM_006771906.2,XP_006771969.2,,model,,default-seq
102895968,CXCL16,C-X-C motif chemokine ligand 16,Pteropus alecto,black flying fox,XM_006922271.3,XP_006922333.1,,model,,default-seq
103299849,CXCL16,C-X-C motif chemokine ligand 16,Eptesicus fuscus,big brown bat,XM_008156701.3,XP_008154923.3,,model,,default-seq
105291750,CXCL16,C-X-C motif chemokine ligand 16,Pteropus vampyrus,large flying fox,XM_011359692.2,XP_011357994.1,,model,,default-seq
107509497,CXCL16,C-X-C motif chemokine ligand 16,Rousettus aegyptiacus,Egyptian rousette,XM_016142057.2,XP_015997543.2,,model,,default-seq
107528020,CXCL16,C-X-C motif chemokine ligand 16,Miniopterus natalensis,,XM_016200929.1,XP_016056415.1,,model,,default-seq
109394681,CXCL16,C-X-C motif chemokine ligand 16,Hipposideros armiger,great roundleaf bat,XM_019665006.1,XP_019520551.1,,model,,default-seq
112308835,CXCL16,C-X-C motif chemokine ligand 16,Desmodus rotundus,common vampire bat,XM_024565114.3,XP_024420882.2,,model,,default-seq
114515121,CXCL16,C-X-C motif chemokine ligand 16,Phyllostomus discolor,pale spear-nosed bat,XM_028534427.2,XP_028390228.1,,model,,default-seq
117013649,CXCL16,C-X-C motif chemokine ligand 16,Rhinolophus ferrumequinum,greater horseshoe bat,XM_033090994.1,XP_032946885.1,,model,,default-seq
118634667,CXCL16,C-X-C motif chemokine ligand 16,Molossus molossus,Pallas's mastiff bat,XM_036269360.1,XP_036125253.1,,model,,default-seq
118671947,CXCL16,C-X-C motif chemokine ligand 16,Myotis myotis,,XM_036341106.1,XP_036196999.1,,model,,default-seq
118727045,CXCL16,C-X-C motif chemokine ligand 16,Pipistrellus kuhlii,Kuhl's pipistrelle,XM_045586612.1,XP_045442568.1,,model,,default-seq
119001056,CXCL16,C-X-C motif chemokine ligand 16,Sturnira hondurensis,,XM_037066211.1,XP_036922106.1,,model,,default-seq
119043200,CXCL16,C-X-C motif chemokine ligand 16,Artibeus jamaicensis,Jamaican fruit-eating bat,XM_037137101.2,XP_036992996.2,,model,,default-seq
120607870,CXCL16,C-X-C motif chemokine ligand 16,Pteropus giganteus,Indian flying fox,XM_039869618.1,XP_039725552.1,,model,,default-seq
123809194,CXCL16,C-X-C motif chemokine ligand 16,Phyllostomus hastatus,greater spear-nosed bat,XM_045824105.1,XP_045680061.1,,model,,default-seq
129072335,CXCL16,C-X-C motif chemokine ligand 16,Pteronotus parnellii mesoamericanus,,XM_054575808.1,XP_054431783.1,,model,,default-seq
132218119,CXCL16,C-X-C motif chemokine ligand 16,Myotis daubentonii,Daubenton's bat,XM_059668884.1,XP_059524867.1,,model,,default-seq
