Gene ID,Gene symbol,Description,Scientific name,Common name,RefSeq Transcript accessions,RefSeq Protein accessions,SPARCLE ID,Curation Status,RefseqSelect,Default sequence
66102,Cxcl16,C-X-C motif chemokine ligand 16,Mus musculus,house mouse,NM_023158.7,NP_075647.3,,curated,RefseqSelect,default-seq
497942,Cxcl16,C-X-C motif chemokine ligand 16,Rattus norvegicus,Norway rat,NM_001017478.1,NP_001017478.1,,curated,RefseqSelect,default-seq
100751127,Cxcl16,C-X-C motif chemokine ligand 16,Cricetulus griseus,Chinese hamster,XM_007608718.3,XP_007606908.1,,model,,default-seq
101562348,Cxcl16,C-X-C motif chemokine ligand 16,Octodon degus,degu,XM_023723482.1,XP_023579250.1,,model,,default-seq
101613946,Cxcl16,C-X-C motif chemokine ligand 16,Jaculus jaculus,lesser Egyptian jerboa,XM_045159758.1,XP_045015693.1,,model,,default-seq
101722483,Cxcl16,C-X-C motif chemokine ligand 16,Heterocephalus glaber,naked mole-rat,XM_013076749.2,XP_012932203.2,,model,,default-seq
101787378,Cxcl16,C-X-C motif chemokine ligand 16,Cavia porcellus,domestic guinea pig,XM_013148660.1,XP_013004114.1,,model,,default-seq
101838392,Cxcl16,C-X-C motif chemokine ligand 16,Mesocricetus auratus,golden hamster,XM_005067827.4,XP_005067884.2,,model,,default-seq
101971155,Cxcl16,C-X-C motif chemokine ligand 16,Ictidomys tridecemlineatus,thirteen-lined ground squirrel,XM_005337372.4,XP_005337429.1,,model,,default-seq
101980877,Cxcl16,C-X-C motif chemokine ligand 16,Microtus ochrogaster,prairie vole,XM_005349687.3,XP_005349744.1,,model,,default-seq
102010242,Cxcl16,C-X-C motif chemokine ligand 16,Chinchilla lanigera,long-tailed chinchilla,XM_013522132.1,XP_013377586.1,,model,,default-seq
102914291,Cxcl16,C-X-C motif chemokine ligand 16,Peromyscus maniculatus bairdii,prairie deer mouse,XM_006994142.3,XP_006994204.1,,model,,default-seq
103752185,Cxcl16,C-X-C motif chemokine ligand 16,Nannospalax galili,Upper Galilee mountains blind mole rat,XM_008855894.3,XP_008854116.1,,model,,default-seq
104849369,Cxcl16,C-X-C motif chemokine ligand 16,Fukomys damarensis,Damara mole-rat,XM_010605776.2,XP_010604078.1,,model,,default-seq
105983200,Cxcl16,C-X-C motif chemokine ligand 16,Dipodomys ordii,Ord's kangaroo rat,XM_013013034.1,XP_012868488.1,,model,,default-seq
107159396,Cxcl16,C-X-C motif chemokine ligand 16,Marmota marmota marmota,Alpine marmot,XM_015505984.2,XP_015361470.1,,model,,default-seq
109697452,Cxcl16,C-X-C motif chemokine ligand 16,Castor canadensis,American beaver,XM_020181067.1,XP_020036656.1,,model,,default-seq
110304857,Cxcl16,C-X-C motif chemokine ligand 16,Mus caroli,Ryukyu mouse,XM_021176490.2,XP_021032149.1,,model,,default-seq
