test	back	pval	kval
Ahaetulla_prasina	`Gekko_japonicus,Paroedura_picta,Node3,Euleptes_europaea,Sphaerodactylus_townsendi,Node6,Node2,Eublepharis_macularius,Node1,Hemicordylus_capensis,Python_bivittatus,Python_molurus,Node15,Ptyas_mucosa,Pantherophis_obsoletus,Pantherophis_guttatus,Node25,Pituophis_catenifer,Node24,Node22,Thamnophis_elegans,Thamnophis_sirtalis,Node29,Node21,Vipera_berus,Crotalus_tigris,Bothrops_jararaca,Node35,Protobothrops_mucrosquamatus,Node34,Node32,Node20,Node18,Node14,Varanus_komodoensis,Anolis_carolinensis,Phrynosoma_platyrhinos,Sceloporus_undulatus,Node44,Node42,Pogona_vitticeps,Node41,Node39,Node13,Aspidoscelis_marmoratus,Salvator_merianae,Node49,Podarcis_raffonei,Podarcis_muralis,Node54,Lacerta_agilis,Node53,Zootoca_vivipara,Node52,Node48,Node12,Node10,Sphenodon_punctatus`	0.7384	0.82
Anolis_carolinensis	`Gekko_japonicus,Paroedura_picta,Node3,Euleptes_europaea,Sphaerodactylus_townsendi,Node6,Node2,Eublepharis_macularius,Node1,Hemicordylus_capensis,Python_bivittatus,Python_molurus,Node15,Ahaetulla_prasina,Ptyas_mucosa,Pantherophis_obsoletus,Pantherophis_guttatus,Node25,Pituophis_catenifer,Node24,Node22,Thamnophis_elegans,Thamnophis_sirtalis,Node29,Node21,Vipera_berus,Crotalus_tigris,Bothrops_jararaca,Node35,Protobothrops_mucrosquamatus,Node34,Node32,Node20,Node18,Node14,Varanus_komodoensis,Phrynosoma_platyrhinos,Sceloporus_undulatus,Node44,Node42,Pogona_vitticeps,Node41,Node39,Node13,Aspidoscelis_marmoratus,Salvator_merianae,Node49,Podarcis_raffonei,Podarcis_muralis,Node54,Lacerta_agilis,Node53,Zootoca_vivipara,Node52,Node48,Node12,Node10,Sphenodon_punctatus`	0.0636	2.25
Aspidoscelis_marmoratus	`Gekko_japonicus,Paroedura_picta,Node3,Euleptes_europaea,Sphaerodactylus_townsendi,Node6,Node2,Eublepharis_macularius,Node1,Hemicordylus_capensis,Python_bivittatus,Python_molurus,Node15,Ahaetulla_prasina,Ptyas_mucosa,Pantherophis_obsoletus,Pantherophis_guttatus,Node25,Pituophis_catenifer,Node24,Node22,Thamnophis_elegans,Thamnophis_sirtalis,Node29,Node21,Vipera_berus,Crotalus_tigris,Bothrops_jararaca,Node35,Protobothrops_mucrosquamatus,Node34,Node32,Node20,Node18,Node14,Varanus_komodoensis,Anolis_carolinensis,Phrynosoma_platyrhinos,Sceloporus_undulatus,Node44,Node42,Pogona_vitticeps,Node41,Node39,Node13,Salvator_merianae,Node49,Podarcis_raffonei,Podarcis_muralis,Node54,Lacerta_agilis,Node53,Zootoca_vivipara,Node52,Node48,Node12,Node10,Sphenodon_punctatus`	0.0315	0.00
Bothrops_jararaca	`Gekko_japonicus,Paroedura_picta,Node3,Euleptes_europaea,Sphaerodactylus_townsendi,Node6,Node2,Eublepharis_macularius,Node1,Hemicordylus_capensis,Python_bivittatus,Python_molurus,Node15,Ahaetulla_prasina,Ptyas_mucosa,Pantherophis_obsoletus,Pantherophis_guttatus,Node25,Pituophis_catenifer,Node24,Node22,Thamnophis_elegans,Thamnophis_sirtalis,Node29,Node21,Vipera_berus,Crotalus_tigris,Node35,Protobothrops_mucrosquamatus,Node34,Node32,Node20,Node18,Node14,Varanus_komodoensis,Anolis_carolinensis,Phrynosoma_platyrhinos,Sceloporus_undulatus,Node44,Node42,Pogona_vitticeps,Node41,Node39,Node13,Aspidoscelis_marmoratus,Salvator_merianae,Node49,Podarcis_raffonei,Podarcis_muralis,Node54,Lacerta_agilis,Node53,Zootoca_vivipara,Node52,Node48,Node12,Node10,Sphenodon_punctatus`	0.8454	0.72
Crotalus_tigris	`Gekko_japonicus,Paroedura_picta,Node3,Euleptes_europaea,Sphaerodactylus_townsendi,Node6,Node2,Eublepharis_macularius,Node1,Hemicordylus_capensis,Python_bivittatus,Python_molurus,Node15,Ahaetulla_prasina,Ptyas_mucosa,Pantherophis_obsoletus,Pantherophis_guttatus,Node25,Pituophis_catenifer,Node24,Node22,Thamnophis_elegans,Thamnophis_sirtalis,Node29,Node21,Vipera_berus,Bothrops_jararaca,Node35,Protobothrops_mucrosquamatus,Node34,Node32,Node20,Node18,Node14,Varanus_komodoensis,Anolis_carolinensis,Phrynosoma_platyrhinos,Sceloporus_undulatus,Node44,Node42,Pogona_vitticeps,Node41,Node39,Node13,Aspidoscelis_marmoratus,Salvator_merianae,Node49,Podarcis_raffonei,Podarcis_muralis,Node54,Lacerta_agilis,Node53,Zootoca_vivipara,Node52,Node48,Node12,Node10,Sphenodon_punctatus`	0.7266	0.57
Eublepharis_macularius	`Gekko_japonicus,Paroedura_picta,Node3,Euleptes_europaea,Sphaerodactylus_townsendi,Node6,Node2,Node1,Hemicordylus_capensis,Python_bivittatus,Python_molurus,Node15,Ahaetulla_prasina,Ptyas_mucosa,Pantherophis_obsoletus,Pantherophis_guttatus,Node25,Pituophis_catenifer,Node24,Node22,Thamnophis_elegans,Thamnophis_sirtalis,Node29,Node21,Vipera_berus,Crotalus_tigris,Bothrops_jararaca,Node35,Protobothrops_mucrosquamatus,Node34,Node32,Node20,Node18,Node14,Varanus_komodoensis,Anolis_carolinensis,Phrynosoma_platyrhinos,Sceloporus_undulatus,Node44,Node42,Pogona_vitticeps,Node41,Node39,Node13,Aspidoscelis_marmoratus,Salvator_merianae,Node49,Podarcis_raffonei,Podarcis_muralis,Node54,Lacerta_agilis,Node53,Zootoca_vivipara,Node52,Node48,Node12,Node10,Sphenodon_punctatus`	0.7266	1.12
Euleptes_europaea	`Gekko_japonicus,Paroedura_picta,Node3,Sphaerodactylus_townsendi,Node6,Node2,Eublepharis_macularius,Node1,Hemicordylus_capensis,Python_bivittatus,Python_molurus,Node15,Ahaetulla_prasina,Ptyas_mucosa,Pantherophis_obsoletus,Pantherophis_guttatus,Node25,Pituophis_catenifer,Node24,Node22,Thamnophis_elegans,Thamnophis_sirtalis,Node29,Node21,Vipera_berus,Crotalus_tigris,Bothrops_jararaca,Node35,Protobothrops_mucrosquamatus,Node34,Node32,Node20,Node18,Node14,Varanus_komodoensis,Anolis_carolinensis,Phrynosoma_platyrhinos,Sceloporus_undulatus,Node44,Node42,Pogona_vitticeps,Node41,Node39,Node13,Aspidoscelis_marmoratus,Salvator_merianae,Node49,Podarcis_raffonei,Podarcis_muralis,Node54,Lacerta_agilis,Node53,Zootoca_vivipara,Node52,Node48,Node12,Node10,Sphenodon_punctatus`	0.5851	0.62
Gekko_japonicus	`Paroedura_picta,Node3,Euleptes_europaea,Sphaerodactylus_townsendi,Node6,Node2,Eublepharis_macularius,Node1,Hemicordylus_capensis,Python_bivittatus,Python_molurus,Node15,Ahaetulla_prasina,Ptyas_mucosa,Pantherophis_obsoletus,Pantherophis_guttatus,Node25,Pituophis_catenifer,Node24,Node22,Thamnophis_elegans,Thamnophis_sirtalis,Node29,Node21,Vipera_berus,Crotalus_tigris,Bothrops_jararaca,Node35,Protobothrops_mucrosquamatus,Node34,Node32,Node20,Node18,Node14,Varanus_komodoensis,Anolis_carolinensis,Phrynosoma_platyrhinos,Sceloporus_undulatus,Node44,Node42,Pogona_vitticeps,Node41,Node39,Node13,Aspidoscelis_marmoratus,Salvator_merianae,Node49,Podarcis_raffonei,Podarcis_muralis,Node54,Lacerta_agilis,Node53,Zootoca_vivipara,Node52,Node48,Node12,Node10,Sphenodon_punctatus`	0.1461	0.32
Hemicordylus_capensis	`Gekko_japonicus,Paroedura_picta,Node3,Euleptes_europaea,Sphaerodactylus_townsendi,Node6,Node2,Eublepharis_macularius,Node1,Python_bivittatus,Python_molurus,Node15,Ahaetulla_prasina,Ptyas_mucosa,Pantherophis_obsoletus,Pantherophis_guttatus,Node25,Pituophis_catenifer,Node24,Node22,Thamnophis_elegans,Thamnophis_sirtalis,Node29,Node21,Vipera_berus,Crotalus_tigris,Bothrops_jararaca,Node35,Protobothrops_mucrosquamatus,Node34,Node32,Node20,Node18,Node14,Varanus_komodoensis,Anolis_carolinensis,Phrynosoma_platyrhinos,Sceloporus_undulatus,Node44,Node42,Pogona_vitticeps,Node41,Node39,Node13,Aspidoscelis_marmoratus,Salvator_merianae,Node49,Podarcis_raffonei,Podarcis_muralis,Node54,Lacerta_agilis,Node53,Zootoca_vivipara,Node52,Node48,Node12,Node10,Sphenodon_punctatus`	0.1101	0.62
Lacerta_agilis	`Gekko_japonicus,Paroedura_picta,Node3,Euleptes_europaea,Sphaerodactylus_townsendi,Node6,Node2,Eublepharis_macularius,Node1,Hemicordylus_capensis,Python_bivittatus,Python_molurus,Node15,Ahaetulla_prasina,Ptyas_mucosa,Pantherophis_obsoletus,Pantherophis_guttatus,Node25,Pituophis_catenifer,Node24,Node22,Thamnophis_elegans,Thamnophis_sirtalis,Node29,Node21,Vipera_berus,Crotalus_tigris,Bothrops_jararaca,Node35,Protobothrops_mucrosquamatus,Node34,Node32,Node20,Node18,Node14,Varanus_komodoensis,Anolis_carolinensis,Phrynosoma_platyrhinos,Sceloporus_undulatus,Node44,Node42,Pogona_vitticeps,Node41,Node39,Node13,Aspidoscelis_marmoratus,Salvator_merianae,Node49,Podarcis_raffonei,Podarcis_muralis,Node54,Node53,Zootoca_vivipara,Node52,Node48,Node12,Node10,Sphenodon_punctatus`	0.5733	0.53
