Anas platyrhynchos	XM_013102982.3
Melopsittacus undulatus	XM_034068964.1
Columba livia	XM_013366850.2
Merops nubicus	XM_008941384.1
Aptenodytes forsteri	XM_019471771.1
Pygoscelis adeliae	XM_009328657.1
Nipponia nippon	XM_009464560.1
Pelecanus crispus	XM_009489561.1
Fulmarus glacialis	XM_009573592.1
Egretta garzetta	XM_035889510.1
Struthio camelus	XM_009673021.1
Gavia stellata	XM_059829517.1
Opisthocomus hoazin	XM_009945818.1
Tyto alba	XM_042791421.1
Tauraco erythrolophus	XM_009990127.1
Chlamydotis macqueenii	XM_010117914.1
Antrostomus carolinensis	XM_029085930.1
Mesitornis unicolor	XM_010189028.1
Colius striatus	XM_010201015.1
Balearica regulorum	XM_010300302.1
Haliaeetus leucocephalus	XM_010573949.1
Anser cygnoides	XM_013196471.2
Apteryx australis	XM_013953846.1
Apteryx rowi	XM_026055304.1
Dromaius novaehollandiae	XM_026101440.1
Athene cunicularia	XM_026861904.1
Aquila chrysaetos	XM_041126579.1
Strigops habroptila	XM_030472607.1
Aythya fuligula	XM_032201050.1
Oxyura jamaicensis	XM_035342946.1
Cygnus atratus	XM_050714787.1
Cygnus olor	XM_040532764.1
Accipiter gentilis	XM_049803014.1
Gymnogyps californianus	XM_050909207.1
Harpia harpyja	XM_052803076.1
Rissa tridactyla	XM_054208257.1
Grus americana	XM_054847828.1
Neopsephotus bourkii	XM_061363562.1
Pezoporus flaviventris	XM_061470249.1
