Species	Per_identity
Human	69.1824
Human	47.2622
Human	85.1852
Human	66.0793
Human	54.4248
Human	75.0958
Human	51.3043
Human	59.4771
Human	55.2239
Human	72.6316
Human	32.7586
Human	79.604
Human	79.604
Human	79.604
Human	69.7315
Human	69.7315
Human	69.7315
Human	69.7315
Human	69.7315
Human	69.7315
Human	69.7315
Human	69.7315
Human	40.7064
Human	40.7064
Human	40.7064
Human	40.7064
Human	40.7064
Human	40.7064
Human	48.1538
Human	92.1922
Human	92.1922
Human	92.1922
Human	92.1922
Human	88.2317
Human	88.2317
Human	88.2317
Human	88.2317
Human	78.5217
Human	78.5217
Human	78.5217
Human	78.5217
Human	69.708
Human	67.5393
Human	67.5393
Human	67.5393
Human	50.1299
Human	50.7324
Human	61.4525
Human	61.4525
Human	80.0648
Human	80.0648
Human	80.0648
Human	80.0648
Human	80.0648
Human	80.0648
Human	61.9355
Human	61.9355
Human	61.9355
Human	73.3051
Human	73.3051
Human	73.3051
Human	79.597
Human	94.9886
Human	94.9886
Human	71.0744
Human	71.0744
Human	56.3707
Human	91.5254
Human	46.4229
Human	46.4229
Human	46.4229
Human	74.2116
Human	86.5487
Human	66.5179
Human	66.5179
Human	66.5179
Human	59.5843
Human	59.5843
Human	64.8456
Human	53.1343
Human	88.9961
Human	88.9961
Human	94.958
Human	34.3815
Human	67.1429
Human	67.1429
Human	67.1429
Human	67.1429
Human	69.7674
Human	69.7674
Human	54.7315
Human	54.7315
Human	84.507
Human	84.507
Human	84.507
Human	84.507
Human	84.507
Human	84.9195
Human	84.9195
Human	84.9195
Human	50.2941
Human	91.3684
Human	91.3684
Human	69.74
Human	69.74
Human	45.0928
Human	45.0928
Human	41.0904
Human	41.0904
Human	93.3165
Human	93.3165
Human	93.3165
Human	68.5039
Human	68.5039
Human	77.8116
Human	42.5743
Human	57.9805
Human	57.9805
Human	57.9805
Human	57.9805
Human	78.5476
Human	78.5476
Human	78.5476
Human	78.5476
Human	78.5476
Human	54.1226
Human	54.1226
Human	57.4236
Human	57.4236
Human	57.4236
Human	35.1288
Human	34.9666
Human	47.9774
Human	53.5354
Human	33.5125
Human	49.4737
Human	49.4737
Human	49.4737
Human	54
Human	66.6667
Human	69.4118
Human	69.4118
Human	78.1395
Human	94.2044
Human	94.2044
Human	94.2044
Human	72.3404
Human	90.5488
Human	52.5959
Human	52.5959
Human	52.5959
Human	71.2644
Human	71.2644
Human	71.2644
Human	74.7688
Human	74.7688
Human	82.4194
Human	78.7686
Human	78.7686
Human	78.7686
Human	78.7686
Human	60.4969
Human	60.4969
Human	77.4753
Human	77.4753
Human	75.8824
Human	75.8824
Human	75.8824
Human	30.0076
Human	30.0076
Human	30.0076
Human	30.0076
Human	30.0076
Human	30.0076
Human	34.8797
Human	34.8797
Human	34.8797
Human	34.8797
Human	80.1653
Human	80.1653
Human	80.1653
Human	80.1653
Human	80.1653
Human	80.1653
Human	80.1653
Human	80.1653
Human	50.1134
Human	70.8661
Human	70.8661
Human	82.0194
Human	66.0417
Human	66.0417
Human	85.8209
Human	85.8209
Human	62.614
Human	62.614
Human	62.8183
Human	62.8183
Human	59.0753
Human	61.2378
Human	81.3726
Human	81.3726
Human	75.8454
Human	75.8454
Human	75.8454
Human	81.6327
Human	65.8878
Human	65.8878
Human	56.3545
Human	56.3545
Human	81.3063
Human	81.3063
Human	83.9024
Human	87.1946
Human	87.1946
Human	87.1946
Human	32.4111
Human	52.0362
Human	35.2304
Human	82.5046
Human	82.5046
Human	82.5046
Human	43.1751
Human	43.1751
Human	81.1808
Human	81.1808
Human	81.1808
Human	86.4979
Human	86.4979
Human	86.4979
Human	34.0691
Human	34.0691
Human	83.4031
Human	83.4031
Human	57.2993
Human	57.2993
Human	57.2993
Human	58.296
