Species	Per_identity
australian_saltwater_crocodile	70.3125
australian_saltwater_crocodile	42.735
australian_saltwater_crocodile	84.749
australian_saltwater_crocodile	63.8767
australian_saltwater_crocodile	67.8414
australian_saltwater_crocodile	76.2452
australian_saltwater_crocodile	63.4783
australian_saltwater_crocodile	53.6082
australian_saltwater_crocodile	55.7987
australian_saltwater_crocodile	48.6224
australian_saltwater_crocodile	65.1948
australian_saltwater_crocodile	55.8433
australian_saltwater_crocodile	55.8433
australian_saltwater_crocodile	55.8433
australian_saltwater_crocodile	55.8433
australian_saltwater_crocodile	55.8433
australian_saltwater_crocodile	55.8433
australian_saltwater_crocodile	32.4823
australian_saltwater_crocodile	85.0136
australian_saltwater_crocodile	85.0136
australian_saltwater_crocodile	85.0136
australian_saltwater_crocodile	85.0136
australian_saltwater_crocodile	86.0345
australian_saltwater_crocodile	96.929
australian_saltwater_crocodile	96.929
australian_saltwater_crocodile	79.805
australian_saltwater_crocodile	87.2792
australian_saltwater_crocodile	87.2792
australian_saltwater_crocodile	87.2792
australian_saltwater_crocodile	87.2792
australian_saltwater_crocodile	87.2792
australian_saltwater_crocodile	89.8256
australian_saltwater_crocodile	89.8256
australian_saltwater_crocodile	89.8256
australian_saltwater_crocodile	54.8315
australian_saltwater_crocodile	87.931
australian_saltwater_crocodile	87.931
australian_saltwater_crocodile	76.7296
australian_saltwater_crocodile	76.7296
australian_saltwater_crocodile	46.8864
australian_saltwater_crocodile	46.8864
australian_saltwater_crocodile	97.2046
australian_saltwater_crocodile	97.2046
australian_saltwater_crocodile	97.2046
australian_saltwater_crocodile	81.8792
australian_saltwater_crocodile	81.8792
australian_saltwater_crocodile	68.8953
australian_saltwater_crocodile	61.6114
australian_saltwater_crocodile	46.7153
australian_saltwater_crocodile	46.7153
australian_saltwater_crocodile	46.7153
australian_saltwater_crocodile	88.7874
australian_saltwater_crocodile	88.7874
australian_saltwater_crocodile	88.7874
australian_saltwater_crocodile	88.7874
australian_saltwater_crocodile	88.7874
australian_saltwater_crocodile	94.1589
australian_saltwater_crocodile	94.1589
australian_saltwater_crocodile	83.3052
australian_saltwater_crocodile	83.3052
australian_saltwater_crocodile	83.3052
australian_saltwater_crocodile	50.3979
australian_saltwater_crocodile	57.1429
australian_saltwater_crocodile	57.1429
australian_saltwater_crocodile	57.1429
australian_saltwater_crocodile	72.5806
australian_saltwater_crocodile	79.235
australian_saltwater_crocodile	79.235
australian_saltwater_crocodile	77.2093
australian_saltwater_crocodile	83.8532
australian_saltwater_crocodile	83.8532
australian_saltwater_crocodile	83.8532
australian_saltwater_crocodile	89.6296
australian_saltwater_crocodile	83.8881
australian_saltwater_crocodile	83.8881
australian_saltwater_crocodile	88.3871
australian_saltwater_crocodile	64.3312
australian_saltwater_crocodile	64.3312
australian_saltwater_crocodile	87.2633
australian_saltwater_crocodile	69.9584
australian_saltwater_crocodile	69.9584
australian_saltwater_crocodile	97.7612
australian_saltwater_crocodile	97.7612
australian_saltwater_crocodile	70.3364
australian_saltwater_crocodile	70.3364
australian_saltwater_crocodile	67.6768
australian_saltwater_crocodile	67.6768
australian_saltwater_crocodile	61.8507
australian_saltwater_crocodile	81.8705
australian_saltwater_crocodile	81.8705
australian_saltwater_crocodile	89.2683
australian_saltwater_crocodile	89.2683
australian_saltwater_crocodile	89.2683
australian_saltwater_crocodile	68.9655
australian_saltwater_crocodile	68.9655
australian_saltwater_crocodile	79.8987
australian_saltwater_crocodile	79.8987
australian_saltwater_crocodile	92.629
australian_saltwater_crocodile	92.629
australian_saltwater_crocodile	89.2683
australian_saltwater_crocodile	93.1921
australian_saltwater_crocodile	93.1921
