""	"test"	"pval"	"kval"	"RELAX_adj.pval"
"1"	"Crocodylus_porosus"	0.6817	0.87	0.731892857142857
"2"	"Gavialis_gangeticus"	0.0105	0	0.0315
"3"	"Alligator_mississippiensis"	0.014	0	0.035
"4"	"Alligator_sinensis"	0.0053	0	0.019875
"5"	"Dermochelys_coriacea"	0	50	0
"6"	"Alligator_mississippiensis"	1e-04	0.01	5e-04
"7"	"Chelonia_mydas"	0.5582	0.65	0.7185
"8"	"Chelonoidis_abingdonii"	0.7818	1.29	0.7818
"9"	"Chrysemys_picta"	0.6831	0.65	0.731892857142857
"10"	"Dermochelys_coriacea"	0	48.5	0
"11"	"Gopherus_evgoodei"	0.5748	0.77	0.7185
"12"	"Mauremys_reevesii"	0.3418	1.63	0.569666666666667
"13"	"Pelodiscus_sinensis"	0.0789	0.51	0.169071428571429
"14"	"Terrapene_carolina"	0.1665	4.18	0.3121875
"15"	"Trachemys_scripta"	0.4895	0.64	0.7185
