Group	test	back	RELAX_pval	RELAX_kval	aBSREL_pval	BUSTED_pval
Afrotheria	Chrysochloris_asiatica	`Heterohyrax_brucei,Procavia_capensis,Node2,Dugong_dugon,Trichechus_manatus,Node5,Node1,Loxodonta_africana,Elephas_maximus,Node8,Echinops_telfairi,Node13,Elephantulus_edwardii,Node12,Orycteropus_afer,Node11`	0.2242	0.51	NA	0.5000
Afrotheria	Echinops_telfairi	`Heterohyrax_brucei,Procavia_capensis,Node2,Dugong_dugon,Trichechus_manatus,Node5,Node1,Loxodonta_africana,Elephas_maximus,Node8,Chrysochloris_asiatica,Node13,Elephantulus_edwardii,Node12,Orycteropus_afer,Node11`	0.2670	1.74	NA	0.5000
Afrotheria	Elephantulus_edwardii	`Heterohyrax_brucei,Procavia_capensis,Node2,Dugong_dugon,Trichechus_manatus,Node5,Node1,Loxodonta_africana,Elephas_maximus,Node8,Chrysochloris_asiatica,Echinops_telfairi,Node13,Node12,Orycteropus_afer,Node11`	0.2785	0.36	NA	0.5000
Afrotheria	Elephas_maximus	`Heterohyrax_brucei,Procavia_capensis,Node2,Dugong_dugon,Trichechus_manatus,Node5,Node1,Loxodonta_africana,Node8,Chrysochloris_asiatica,Echinops_telfairi,Node13,Elephantulus_edwardii,Node12,Orycteropus_afer,Node11`	0.7053	0.63	NA	0.5000
Afrotheria	Loxodonta_africana	`Heterohyrax_brucei,Procavia_capensis,Node2,Dugong_dugon,Trichechus_manatus,Node5,Node1,Elephas_maximus,Node8,Chrysochloris_asiatica,Echinops_telfairi,Node13,Elephantulus_edwardii,Node12,Orycteropus_afer,Node11`	0.6964	0.67	NA	0.5000
Afrotheria	Orycteropus_afer	`Heterohyrax_brucei,Procavia_capensis,Node2,Dugong_dugon,Trichechus_manatus,Node5,Node1,Loxodonta_africana,Elephas_maximus,Node8,Chrysochloris_asiatica,Echinops_telfairi,Node13,Elephantulus_edwardii,Node12,Node11`	0.5006	0.66	NA	0.5000
Afrotheria	Trichechus_manatus	`Heterohyrax_brucei,Procavia_capensis,Node2,Dugong_dugon,Node5,Node1,Loxodonta_africana,Elephas_maximus,Node8,Chrysochloris_asiatica,Echinops_telfairi,Node13,Elephantulus_edwardii,Node12,Orycteropus_afer,Node11`	0.6321	0.37	NA	0.4967
Afrotheria	Dugong_dugon	`Heterohyrax_brucei,Procavia_capensis,Node2,Trichechus_manatus,Node5,Node1,Loxodonta_africana,Elephas_maximus,Node8,Chrysochloris_asiatica,Echinops_telfairi,Node13,Elephantulus_edwardii,Node12,Orycteropus_afer,Node11`	0.8086	0.73	NA	0.4029
Afrotheria	Heterohyrax_brucei	`Procavia_capensis,Node2,Dugong_dugon,Trichechus_manatus,Node5,Node1,Loxodonta_africana,Elephas_maximus,Node8,Chrysochloris_asiatica,Echinops_telfairi,Node13,Elephantulus_edwardii,Node12,Orycteropus_afer,Node11`	0.6843	0.66	NA	0.5000
Afrotheria	Procavia_capensis	`Heterohyrax_brucei,Node2,Dugong_dugon,Trichechus_manatus,Node5,Node1,Loxodonta_africana,Elephas_maximus,Node8,Chrysochloris_asiatica,Echinops_telfairi,Node13,Elephantulus_edwardii,Node12,Orycteropus_afer,Node11`	0.7014	0.66	NA	0.5000
