""	"Group"	"test"	"back"	"RELAX_pval"	"RELAX_kval"	"aBSREL_pval"	"BUSTED_pval"	"RELAX_adj.pval"
"57"	"Birds1"	"Anseranas_semipalmata"	"`Struthio_camelus,Nothoprocta_perdicaria,Tinamus_guttatus,Node4,Apteryx_mantelli,Apteryx_rowi,Node8,Casuarius_casuarius,Dromaius_novaehollandiae,Node11,Node7,Node3,Rhea_americana,Node2,Anas_platyrhynchos,Aythya_fuligula,Asarcornis_scutulata,Node21,Node19,Branta_canadensis,Anser_cygnoides,Anser_brachyrhynchus,Node29,Anser_indicus,Node28,Node26,Cygnus_olor,Cygnus_atratus,Node33,Node25,Oxyura_jamaicensis,Node24,Node18,Cairina_moschata,Node17,Node15`"	0.7062	1.18	NA	0.5	1
"58"	"Birds1"	"Anas_platyrhynchos"	"`Struthio_camelus,Nothoprocta_perdicaria,Tinamus_guttatus,Node4,Apteryx_mantelli,Apteryx_rowi,Node8,Casuarius_casuarius,Dromaius_novaehollandiae,Node11,Node7,Node3,Rhea_americana,Node2,Anseranas_semipalmata,Aythya_fuligula,Asarcornis_scutulata,Node21,Node19,Branta_canadensis,Anser_cygnoides,Anser_brachyrhynchus,Node29,Anser_indicus,Node28,Node26,Cygnus_olor,Cygnus_atratus,Node33,Node25,Oxyura_jamaicensis,Node24,Node18,Cairina_moschata,Node17,Node15`"	0.8262	0.17	NA	0.5	1
"59"	"Birds1"	"Aythya_fuligula"	"`Struthio_camelus,Nothoprocta_perdicaria,Tinamus_guttatus,Node4,Apteryx_mantelli,Apteryx_rowi,Node8,Casuarius_casuarius,Dromaius_novaehollandiae,Node11,Node7,Node3,Rhea_americana,Node2,Anseranas_semipalmata,Anas_platyrhynchos,Asarcornis_scutulata,Node21,Node19,Branta_canadensis,Anser_cygnoides,Anser_brachyrhynchus,Node29,Anser_indicus,Node28,Node26,Cygnus_olor,Cygnus_atratus,Node33,Node25,Oxyura_jamaicensis,Node24,Node18,Cairina_moschata,Node17,Node15`"	0.1194	2.49	NA	0.5	0.577111111111111
"60"	"Birds1"	"Asarcornis_scutulata"	"`Struthio_camelus,Nothoprocta_perdicaria,Tinamus_guttatus,Node4,Apteryx_mantelli,Apteryx_rowi,Node8,Casuarius_casuarius,Dromaius_novaehollandiae,Node11,Node7,Node3,Rhea_americana,Node2,Anseranas_semipalmata,Anas_platyrhynchos,Aythya_fuligula,Node21,Node19,Branta_canadensis,Anser_cygnoides,Anser_brachyrhynchus,Node29,Anser_indicus,Node28,Node26,Cygnus_olor,Cygnus_atratus,Node33,Node25,Oxyura_jamaicensis,Node24,Node18,Cairina_moschata,Node17,Node15`"	0.1201	2.48	NA	0.5	0.577111111111111
"61"	"Birds1"	"Branta_canadensis"	"`Struthio_camelus,Nothoprocta_perdicaria,Tinamus_guttatus,Node4,Apteryx_mantelli,Apteryx_rowi,Node8,Casuarius_casuarius,Dromaius_novaehollandiae,Node11,Node7,Node3,Rhea_americana,Node2,Anseranas_semipalmata,Anas_platyrhynchos,Aythya_fuligula,Asarcornis_scutulata,Node21,Node19,Anser_cygnoides,Anser_brachyrhynchus,Node29,Anser_indicus,Node28,Node26,Cygnus_olor,Cygnus_atratus,Node33,Node25,Oxyura_jamaicensis,Node24,Node18,Cairina_moschata,Node17,Node15`"	0.2015	2.28	NA	0.5	0.577111111111111
"62"	"Birds1"	"Anser_cygnoides"	"`Struthio_camelus,Nothoprocta_perdicaria,Tinamus_guttatus,Node4,Apteryx_mantelli,Apteryx_rowi,Node8,Casuarius_casuarius,Dromaius_novaehollandiae,Node11,Node7,Node3,Rhea_americana,Node2,Anseranas_semipalmata,Anas_platyrhynchos,Aythya_fuligula,Asarcornis_scutulata,Node21,Node19,Branta_canadensis,Anser_brachyrhynchus,Node29,Anser_indicus,Node28,Node26,Cygnus_olor,Cygnus_atratus,Node33,Node25,Oxyura_jamaicensis,Node24,Node18,Cairina_moschata,Node17,Node15`"	1	0.9	NA	0.5	1
"63"	"Birds1"	"Anser_brachyrhynchus"	"`Struthio_camelus,Nothoprocta_perdicaria,Tinamus_guttatus,Node4,Apteryx_mantelli,Apteryx_rowi,Node8,Casuarius_casuarius,Dromaius_novaehollandiae,Node11,Node7,Node3,Rhea_americana,Node2,Anseranas_semipalmata,Anas_platyrhynchos,Aythya_fuligula,Asarcornis_scutulata,Node21,Node19,Branta_canadensis,Anser_cygnoides,Node29,Anser_indicus,Node28,Node26,Cygnus_olor,Cygnus_atratus,Node33,Node25,Oxyura_jamaicensis,Node24,Node18,Cairina_moschata,Node17,Node15`"	0.2594	36.79	NA	0.5	0.577111111111111
"64"	"Birds1"	"Anser_indicus"	"`Struthio_camelus,Nothoprocta_perdicaria,Tinamus_guttatus,Node4,Apteryx_mantelli,Apteryx_rowi,Node8,Casuarius_casuarius,Dromaius_novaehollandiae,Node11,Node7,Node3,Rhea_americana,Node2,Anseranas_semipalmata,Anas_platyrhynchos,Aythya_fuligula,Asarcornis_scutulata,Node21,Node19,Branta_canadensis,Anser_cygnoides,Anser_brachyrhynchus,Node29,Node28,Node26,Cygnus_olor,Cygnus_atratus,Node33,Node25,Oxyura_jamaicensis,Node24,Node18,Cairina_moschata,Node17,Node15`"	1	0.9	NA	0.5	1
"65"	"Birds1"	"Cygnus_olor"	"`Struthio_camelus,Nothoprocta_perdicaria,Tinamus_guttatus,Node4,Apteryx_mantelli,Apteryx_rowi,Node8,Casuarius_casuarius,Dromaius_novaehollandiae,Node11,Node7,Node3,Rhea_americana,Node2,Anseranas_semipalmata,Anas_platyrhynchos,Aythya_fuligula,Asarcornis_scutulata,Node21,Node19,Branta_canadensis,Anser_cygnoides,Anser_brachyrhynchus,Node29,Anser_indicus,Node28,Node26,Cygnus_atratus,Node33,Node25,Oxyura_jamaicensis,Node24,Node18,Cairina_moschata,Node17,Node15`"	0.2597	47.67	NA	0.5	0.577111111111111
"66"	"Birds1"	"Cygnus_atratus"	"`Struthio_camelus,Nothoprocta_perdicaria,Tinamus_guttatus,Node4,Apteryx_mantelli,Apteryx_rowi,Node8,Casuarius_casuarius,Dromaius_novaehollandiae,Node11,Node7,Node3,Rhea_americana,Node2,Anseranas_semipalmata,Anas_platyrhynchos,Aythya_fuligula,Asarcornis_scutulata,Node21,Node19,Branta_canadensis,Anser_cygnoides,Anser_brachyrhynchus,Node29,Anser_indicus,Node28,Node26,Cygnus_olor,Node33,Node25,Oxyura_jamaicensis,Node24,Node18,Cairina_moschata,Node17,Node15`"	0.9402	0.89	NA	0.5	1
"67"	"Birds1"	"Oxyura_jamaicensis"	"`Struthio_camelus,Nothoprocta_perdicaria,Tinamus_guttatus,Node4,Apteryx_mantelli,Apteryx_rowi,Node8,Casuarius_casuarius,Dromaius_novaehollandiae,Node11,Node7,Node3,Rhea_americana,Node2,Anseranas_semipalmata,Anas_platyrhynchos,Aythya_fuligula,Asarcornis_scutulata,Node21,Node19,Branta_canadensis,Anser_cygnoides,Anser_brachyrhynchus,Node29,Anser_indicus,Node28,Node26,Cygnus_olor,Cygnus_atratus,Node33,Node25,Node24,Node18,Cairina_moschata,Node17,Node15`"	0.1425	1.97	NA	0.5	0.577111111111111
"68"	"Birds1"	"Cairina_moschata"	"`Struthio_camelus,Nothoprocta_perdicaria,Tinamus_guttatus,Node4,Apteryx_mantelli,Apteryx_rowi,Node8,Casuarius_casuarius,Dromaius_novaehollandiae,Node11,Node7,Node3,Rhea_americana,Node2,Anseranas_semipalmata,Anas_platyrhynchos,Aythya_fuligula,Asarcornis_scutulata,Node21,Node19,Branta_canadensis,Anser_cygnoides,Anser_brachyrhynchus,Node29,Anser_indicus,Node28,Node26,Cygnus_olor,Cygnus_atratus,Node33,Node25,Oxyura_jamaicensis,Node24,Node18,Node17,Node15`"	0.0156	2.68	NA	0.5	0.312
"69"	"Birds1"	"Struthio_camelus"	"`Nothoprocta_perdicaria,Tinamus_guttatus,Node4,Apteryx_mantelli,Apteryx_rowi,Node8,Casuarius_casuarius,Dromaius_novaehollandiae,Node11,Node7,Node3,Rhea_americana,Node2,Anseranas_semipalmata,Anas_platyrhynchos,Aythya_fuligula,Asarcornis_scutulata,Node21,Node19,Branta_canadensis,Anser_cygnoides,Anser_brachyrhynchus,Node29,Anser_indicus,Node28,Node26,Cygnus_olor,Cygnus_atratus,Node33,Node25,Oxyura_jamaicensis,Node24,Node18,Cairina_moschata,Node17,Node15`"	0.2007	0.5	NA	0.1303	0.577111111111111
"70"	"Birds1"	"Nothoprocta_perdicaria"	"`Struthio_camelus,Tinamus_guttatus,Node4,Apteryx_mantelli,Apteryx_rowi,Node8,Casuarius_casuarius,Dromaius_novaehollandiae,Node11,Node7,Node3,Rhea_americana,Node2,Anseranas_semipalmata,Anas_platyrhynchos,Aythya_fuligula,Asarcornis_scutulata,Node21,Node19,Branta_canadensis,Anser_cygnoides,Anser_brachyrhynchus,Node29,Anser_indicus,Node28,Node26,Cygnus_olor,Cygnus_atratus,Node33,Node25,Oxyura_jamaicensis,Node24,Node18,Cairina_moschata,Node17,Node15`"	0.2044	1.52	NA	0.5	0.577111111111111
"71"	"Birds1"	"Tinamus_guttatus"	"`Struthio_camelus,Nothoprocta_perdicaria,Node4,Apteryx_mantelli,Apteryx_rowi,Node8,Casuarius_casuarius,Dromaius_novaehollandiae,Node11,Node7,Node3,Rhea_americana,Node2,Anseranas_semipalmata,Anas_platyrhynchos,Aythya_fuligula,Asarcornis_scutulata,Node21,Node19,Branta_canadensis,Anser_cygnoides,Anser_brachyrhynchus,Node29,Anser_indicus,Node28,Node26,Cygnus_olor,Cygnus_atratus,Node33,Node25,Oxyura_jamaicensis,Node24,Node18,Cairina_moschata,Node17,Node15`"	0.3795	1.39	NA	0.5	0.69
"72"	"Birds1"	"Apteryx_mantelli"	"`Struthio_camelus,Nothoprocta_perdicaria,Tinamus_guttatus,Node4,Apteryx_rowi,Node8,Casuarius_casuarius,Dromaius_novaehollandiae,Node11,Node7,Node3,Rhea_americana,Node2,Anseranas_semipalmata,Anas_platyrhynchos,Aythya_fuligula,Asarcornis_scutulata,Node21,Node19,Branta_canadensis,Anser_cygnoides,Anser_brachyrhynchus,Node29,Anser_indicus,Node28,Node26,Cygnus_olor,Cygnus_atratus,Node33,Node25,Oxyura_jamaicensis,Node24,Node18,Cairina_moschata,Node17,Node15`"	1	0.91	NA	0.5	1
"73"	"Birds1"	"Apteryx_rowi"	"`Struthio_camelus,Nothoprocta_perdicaria,Tinamus_guttatus,Node4,Apteryx_mantelli,Node8,Casuarius_casuarius,Dromaius_novaehollandiae,Node11,Node7,Node3,Rhea_americana,Node2,Anseranas_semipalmata,Anas_platyrhynchos,Aythya_fuligula,Asarcornis_scutulata,Node21,Node19,Branta_canadensis,Anser_cygnoides,Anser_brachyrhynchus,Node29,Anser_indicus,Node28,Node26,Cygnus_olor,Cygnus_atratus,Node33,Node25,Oxyura_jamaicensis,Node24,Node18,Cairina_moschata,Node17,Node15`"	1	0.91	NA	0.5	1
"74"	"Birds1"	"Casuarius_casuarius"	"`Struthio_camelus,Nothoprocta_perdicaria,Tinamus_guttatus,Node4,Apteryx_mantelli,Apteryx_rowi,Node8,Dromaius_novaehollandiae,Node11,Node7,Node3,Rhea_americana,Node2,Anseranas_semipalmata,Anas_platyrhynchos,Aythya_fuligula,Asarcornis_scutulata,Node21,Node19,Branta_canadensis,Anser_cygnoides,Anser_brachyrhynchus,Node29,Anser_indicus,Node28,Node26,Cygnus_olor,Cygnus_atratus,Node33,Node25,Oxyura_jamaicensis,Node24,Node18,Cairina_moschata,Node17,Node15`"	0.8758	0.88	NA	0.5	1
"75"	"Birds1"	"Dromaius_novaehollandiae"	"`Struthio_camelus,Nothoprocta_perdicaria,Tinamus_guttatus,Node4,Apteryx_mantelli,Apteryx_rowi,Node8,Casuarius_casuarius,Node11,Node7,Node3,Rhea_americana,Node2,Anseranas_semipalmata,Anas_platyrhynchos,Aythya_fuligula,Asarcornis_scutulata,Node21,Node19,Branta_canadensis,Anser_cygnoides,Anser_brachyrhynchus,Node29,Anser_indicus,Node28,Node26,Cygnus_olor,Cygnus_atratus,Node33,Node25,Oxyura_jamaicensis,Node24,Node18,Cairina_moschata,Node17,Node15`"	0.348	0.23	NA	0.5	0.69
"76"	"Birds1"	"Rhea_americana"	"`Struthio_camelus,Nothoprocta_perdicaria,Tinamus_guttatus,Node4,Apteryx_mantelli,Apteryx_rowi,Node8,Casuarius_casuarius,Dromaius_novaehollandiae,Node11,Node7,Node3,Node2,Anseranas_semipalmata,Anas_platyrhynchos,Aythya_fuligula,Asarcornis_scutulata,Node21,Node19,Branta_canadensis,Anser_cygnoides,Anser_brachyrhynchus,Node29,Anser_indicus,Node28,Node26,Cygnus_olor,Cygnus_atratus,Node33,Node25,Oxyura_jamaicensis,Node24,Node18,Cairina_moschata,Node17,Node15`"	0.9025	0.95	NA	0.5	1
